Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance
2.908,5.3463662007282435,5.1945000915461135,-5.092520885,-1.5896942522,-0.35033522896,-0.3061672189,-5.1295282041,0.75962703907,26.18730849728184
2.909,5.343100302437863,5.188318027959864,-5.0892046201,-1.5886890543,-0.35324816406,-0.30546458109,-5.1225864951,0.76448868479,26.189156987143946
2.91,5.339786026709436,5.182096009197953,-5.0858355848,-1.5876785582,-0.35618536081,-0.30474254112,-5.1155925415,0.76939195572,26.191013747380424
2.911,5.336431279955447,5.175822929084381,-5.0824225104,-1.5866604601,-0.35915012992,-0.30399722495,-5.108536502,0.77432776535,26.192878828955003
2.912,5.333065736080935,5.169473133788226,-5.078992739,-1.5856471835,-0.36214073508,-0.30321771246,-5.1013898702,0.77931565622,26.194752284493042
2.913,5.329687974574568,5.163082988621827,-5.0755475953,-1.5846274032,-0.36516641028,-0.30240588585,-5.0941905607,0.78434632585,26.19663418971008
2.914,5.3262855325291145,5.156688117267069,-5.0720747971,-1.583601999,-0.36821126465,-0.30157530984,-5.0869762862,0.7894028977,26.198524600423998
2.915,5.322839787307172,5.150253043666317,-5.0685545979,-1.5825700398,-0.37128123919,-0.3007245041,-5.0797121976,0.79447792668,26.20042354466638
2.916,5.31933728160321,5.143784296809684,-5.0649715605,-1.581532647,-0.37438842564,-0.29985315234,-5.072404412,0.7995739242,26.20233106394788
2.917,5.315791665940494,5.137287037034636,-5.0613394483,-1.5804905021,-0.37753648504,-0.29895100012,-5.0650601697,0.8046812274,26.204247203517166
2.918,5.3122190596499514,5.13075902149116,-5.0576741482,-1.5794493994,-0.38071399117,-0.29802768314,-5.0576755431,0.80980598752,26.206172003400038
2.919,5.308641858336241,5.124199958921373,-5.0539988214,-1.5784100644,-0.38392181752,-0.29709189784,-5.0502466401,0.81496656214,26.208105504657908
2.92,5.3050592152779785,5.1176087099452205,-5.0503140665,-1.5773674492,-0.38716022203,-0.29614236529,-5.0427728894,0.82015863924,26.21004777399198
2.921,5.301477313092281,5.111019462970044,-5.0466224473,-1.5763347994,-0.3904256342,-0.29517473506,-5.0352923639,0.82536212458,26.211998845827107
2.922,5.297886661857148,5.104424399418921,-5.0429169497,-1.575302071,-0.39371957713,-0.29419814924,-5.0277954503,0.83058341442,26.21395875895132
2.923,5.294286132957218,5.097841827495252,-5.0391931286,-1.5742766543,-0.39705325338,-0.29322217008,-5.0203001523,0.83582201332,26.215927555775554
2.924,5.290698685026353,5.091293296162904,-5.0354742393,-1.5732626584,-0.40042024021,-0.29224342942,-5.0128244967,0.84110152229,26.21790529944311
2.925,5.287098496085356,5.084770795162205,-5.0317347239,-1.5722570698,-0.40381169135,-0.29126631087,-5.0053635138,0.84640065584,26.219892043317266
2.926,5.2834735099103165,5.0782209655456025,-5.0279609845,-1.5712602813,-0.40723678208,-0.29029746259,-4.9978606733,0.85173014999,26.22188782874928
2.927,5.279849862109719,5.07164588803514,-5.0241790387,-1.5702764049,-0.41069643987,-0.28933407806,-4.9903164492,0.85709949349,26.22389271025032
2.928,5.276234395008327,5.065046364184816,-5.0204008463,-1.5692896803,-0.41419154125,-0.28836797493,-4.9827301127,0.86251910493,26.225906764558886
2.929,5.272623628243163,5.05842859289394,-5.0166217761,-1.5683045376,-0.41771612132,-0.28741520681,-4.9751117572,0.86796044361,26.227930048377072
2.93,5.269005209089444,5.051821635794914,-5.0128295567,-1.5673138937,-0.42128717937,-0.28646457792,-4.967489638,0.8734337879,26.22996261555036
2.931,5.2653640484284,5.045246328776808,-5.0090102602,-1.5663119817,-0.42490181416,-0.28552477678,-4.9598823645,0.87894997025,26.232004542034026
2.932,5.261707287802372,5.038700417286293,-5.005170177,-1.5653050009,-0.42855027236,-0.28459981727,-4.9522880282,0.88450445161,26.234055903575864
2.933,5.258025179322255,5.032147991744512,-5.0012982214,-1.5642930684,-0.4322407699,-0.28368315712,-4.9446666839,0.8901172183,26.236116774079772
2.934,5.2543180749655045,5.0256096195640465,-4.9973929828,-1.5632812551,-0.4359742261,-0.28278762356,-4.9370441945,0.89575545199,26.23818723017002
2.935,5.2505878718705326,5.019078826532089,-4.9934565071,-1.5622705711,-0.4397451246,-0.28191240375,-4.9294148546,0.90141380886,26.240267316706234
2.936,5.246807967289987,5.012546464615209,-4.9894592478,-1.561257509,-0.4435822931,-0.28104893308,-4.9217645421,0.90712036096,26.24235711078469
2.937,5.242978741935671,5.006050814113231,-4.9854031634,-1.5602424232,-0.44746504623,-0.28020878687,-4.91413595,0.91285029121,26.244456692442107
2.938,5.239112061505489,4.999576743609517,-4.9813011396,-1.5592230792,-0.4513951029,-0.2793886773,-4.9065150231,0.91859670712,26.246566115767465
2.939,5.235219694808191,4.993109712383834,-4.9771638648,-1.5582053526,-0.45536929515,-0.27859053411,-4.8988822271,0.92438349142,26.248685438588616
2.94,5.231285312137549,4.986671366905748,-4.9729746307,-1.5571869722,-0.45938880375,-0.27782262646,-4.8912630077,0.93018928141,26.250814730617964
2.941,5.227311173636374,4.980265243573996,-4.9687312847,-1.5561775619,-0.46346836171,-0.27707035088,-4.8836637908,0.93600314927,26.25295403861427
2.942,5.223303837312939,4.973911424769649,-4.964440549,-1.5551750046,-0.46761492427,-0.27633281521,-4.8761049453,0.94182567342,26.25510342517228
2.943,5.219259683339236,4.967558660399789,-4.9600965459,-1.55418898,-0.47181618447,-0.27561499633,-4.8685351262,0.94765032753,26.25726294967651
2.944,5.215164166287879,4.961185214425361,-4.9556856954,-1.5532093252,-0.47608545646,-0.27491741065,-4.86092853,0.95349513653,26.259432656169306
2.945,5.211028328374145,4.954816012805351,-4.951221178,-1.5522327557,-0.48041498496,-0.27422604303,-4.853309684,0.95936797386,26.26161262951335
2.946,5.206845863123694,4.948492449018295,-4.9466945424,-1.5512631372,-0.48480885479,-0.27354586348,-4.8457243776,0.9652488979,26.26380292843349
2.947,5.202624200117635,4.942203513969351,-4.9421131526,-1.5503038279,-0.48925882286,-0.27288367612,-4.8381583248,0.97115091359,26.266003623570864
2.948,5.198360434056412,4.93592300807587,-4.9374770983,-1.5493491231,-0.49374933,-0.27224867273,-4.8305850934,0.97706921826,26.268214763004448
2.949,5.19404578065593,4.929629220624676,-4.9327765941,-1.5483993946,-0.498283011,-0.27163746313,-4.8229793832,0.98301943556,26.270436400676676
2.95,5.189707913980481,4.9233260068083275,-4.9280394615,-1.5474577514,-0.50286161711,-0.27104621773,-4.8153519395,0.98896846053,26.272668573398114
2.951,5.185352314929813,4.91702368040685,-4.9232738594,-1.5465164946,-0.50748385908,-0.27045144757,-4.8077135313,0.99492134822,26.274911319300898
2.952,5.180980149776375,4.910745748579866,-4.9184775999,-1.5455838328,-0.51215625296,-0.26988275026,-4.8000865676,1.0008776408,26.27716467309654
2.953,5.1765894960248415,4.9044638482910665,-4.9136526666,-1.5446502528,-0.5168673707,-0.26931766255,-4.792440524,1.0068502668,26.279428683034865
