Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance,X1,Y1,Z1,X2,Y2,Z2
6.673,2.867868187766034,2.8056344712905448,-0.2715054452,0.44291758838,-2.8204213773,-0.21303631351,0.097649663641,2.7958299052,52.059755063269535,-0.28771484073,1.0193758445,-25.900755862,-0.48339890215,0.37171461099,26.154602555
6.674,2.8680350848099954,2.804626669485252,-0.27161703176,0.44284926608,-2.8205910663,-0.21305721398,0.097602057779,2.7948186376,52.06537449609002,-0.28798640184,1.0198187282,-25.903576368,-0.48361194893,0.3718122371,26.15739788
6.675,2.868195951337386,2.8036128893333987,-0.27173148364,0.44277761091,-2.8207548641,-0.21307966774,0.09755249071,2.7938013172,52.07099308395011,-0.28825807612,1.0202615418,-25.906397042,-0.48382501727,0.37190981445,26.160192191
6.676,2.8683502388824937,2.8025888343100585,-0.27184698603,0.44270417123,-2.8209121443,-0.21310006908,0.09750045721,2.7927739249,52.076610809839515,-0.28852986517,1.020704283,-25.909217876,-0.48403810728,0.37200734121,26.162985479
6.677,2.8684989770623344,2.8015613619833224,-0.27196355763,0.44262762308,-2.8210641595,-0.21312068009,0.097448741735,2.7917430726,52.08222766173462,-0.28880177031,1.0211469489,-25.912038864,-0.48425121754,0.37210481561,26.165777738
6.678,2.8686454726956523,2.800524820847711,-0.27207969161,0.44254997725,-2.8212141016,-0.21314016337,0.097398040603,2.7907031667,52.087843630598556,-0.28907379212,1.0215895379,-25.914860003,-0.48446434821,0.37220223892,26.168568962
6.679,2.8687897614209024,2.7994735759027853,-0.27219636242,0.44247182209,-2.8213618205,-0.21316049179,0.097345768053,2.7896484919,52.093458703416566,-0.28934593005,1.0220320488,-25.917681292,-0.48467749822,0.37229961103,26.171359139
6.68,2.8689278265216482,2.798418874891726,-0.2723135702,0.44239407446,-2.8215030881,-0.2131784419,0.097291224026,2.7885906062,52.09907286322041,-0.28961818494,1.0224744819,-25.920502725,-0.4848906682,0.37239692972,26.174148258
6.681,2.8690619420541723,2.797361039705454,-0.27243202277,0.4423152171,-2.8216403862,-0.21319610266,0.097234928527,2.7875296549,52.10468610501522,-0.28989055754,1.0229168366,-25.923324297,-0.48510385503,0.37249419283,26.176936319
6.682,2.869188680006405,2.7963038108092784,-0.27255309982,0.44223334974,-2.8217703935,-0.21321433533,0.097178284642,2.7864692768,52.110298419788265,-0.29016305006,1.0233591111,-25.926146003,-0.48531706055,0.37259139951,26.179723318
6.683,2.8693098974929576,2.7952475876710716,-0.27267342909,0.4421506429,-2.8218949835,-0.21323037609,0.097118903021,2.7854101676,52.11590980351601,-0.29043566346,1.023801303,-25.928967836,-0.48553028308,0.37268854846,26.182509258
6.684,2.8694286683801398,2.7941882346918994,-0.272794094,0.44206556326,-2.8220174172,-0.21324466543,0.097054093168,2.7843482373,52.12152025023574,-0.2907083972,1.0242434114,-25.931789792,-0.48574352062,0.37278563538,26.185294137
6.685,2.869547711621398,2.7931223525864697,-0.27291494911,0.44198008709,-2.8221401635,-0.21325976797,0.096986411562,2.783279789,52.12712975697752,-0.29098125129,1.0246854344,-25.934611871,-0.48595677294,0.3728826559,26.188077952
6.686,2.869667232276066,2.7920463780665634,-0.27303975244,0.44188944647,-2.8222638138,-0.21327125146,0.096914768316,2.7822016243,52.132738313738244,-0.29125422862,1.0251273696,-25.937434073,-0.48617003884,0.3729796067,26.190860693
6.687,2.8697840907156418,2.7909661756047712,-0.27316360876,0.44179509064,-2.8223854216,-0.21327972545,0.096839529382,2.7811195691,52.13834591448156,-0.29152733037,1.025569212,-25.940256398,-0.48638331438,0.37307648419,26.193642354
6.688,2.8698947498235046,2.7898821401776694,-0.2732883076,0.44169922167,-2.8225008722,-0.21328672643,0.09676215763,2.7800338511,52.14395255021787,-0.29180055646,1.0260109594,-25.943078841,-0.4865965977,0.37317328486,26.196422931
6.689,2.869998461400841,2.788796220149978,-0.27341148492,0.4416053914,-2.8226090779,-0.21328973807,0.096684346885,2.7789465598,52.149558213937866,-0.2920739062,1.0264526112,-25.945901397,-0.48680988652,0.37327000842,26.199202422
6.69,2.870101781007525,2.7877057249616515,-0.2735346649,0.44151459001,-2.8227164022,-0.21328867628,0.096603810975,2.7778550814,52.15516289570237,-0.29234737956,1.0268941714,-25.94872406,-0.48702317588,0.37336665261,26.201980823
6.691,2.8702082818036176,2.7866085425034526,-0.2736562752,0.44142406144,-2.822827062,-0.21328378727,0.096522382354,2.7767572139,52.160766592531694,-0.29262097506,1.0273356405,-25.951546831,-0.48723646244,0.37346321578,26.20475813
6.692,2.8703179748505665,2.7855076425192986,-0.27377884591,0.44133462742,-2.8229406949,-0.21327711273,0.096434737946,2.7756559659,52.16636930246854,-0.29289469231,1.0277770199,-25.954369715,-0.48744974286,0.37355969507,26.207534336
6.693,2.870421485840768,2.78440127556606,-0.27390328811,0.44124432109,-2.8230479883,-0.21326716129,0.096341574068,2.774549672,52.17197102258861,-0.29316853354,1.0282183097,-25.95719271,-0.48766301546,0.37365608342,26.21030944
6.694,2.8705188684033836,2.78328763748196,-0.27402628876,0.4411515875,-2.823149561,-0.21325487758,0.096248394864,2.7734362579,52.177571736883166,-0.29344249831,1.0286595078,-25.960015809,-0.48787627644,0.37375237856,26.213083433
6.695,2.8706121955510486,2.782168924218771,-0.2741471445,0.44105913381,-2.8232471661,-0.21323872713,0.096151928839,2.772318159,52.18317143735628,-0.29371658542,1.0291006131,-25.962839008,-0.48808952373,0.37384857889,26.215856311
6.696,2.8707064434615717,2.7810465865749396,-0.27426666961,0.44096852458,-2.8233455401,-0.21321903957,0.096052359428,2.7711967996,52.18877011505689,-0.29399079204,1.0295416269,-25.965662304,-0.48830275263,0.37394468135,26.218628068
6.697,2.870801209252492,2.779924216382121,-0.27438768809,0.44087915256,-2.8234440941,-0.21319898087,0.095952416841,2.7700754461,52.19436777302051,-0.29426511932,1.0299825504,-25.968485699,-0.48851596177,0.37404068358,26.221398705
6.698,2.870896722311123,2.7787939662020995,-0.27450998476,0.44079161548,-2.8235429889,-0.21317297245,0.095851218113,2.7689466832,52.19996440526116,-0.29453956786,1.0304233857,-25.971309192,-0.48872914845,0.37413658567,26.224168217
6.699,2.8709899142300372,2.777653457089089,-0.27463684648,0.44070557756,-2.8236388374,-0.21314026298,0.095746758024,2.767808251,52.20556000379041,-0.294814141,1.0308641342,-25.974132784,-0.48894230546,0.37423238508,26.226936595
6.7,2.87108424793938,2.7765034014307757,-0.27476481811,0.44061916754,-2.8237357884,-0.2131020334,0.095639444584,2.7666607595,52.211154554630056,-0.29508884174,1.0313047965,-25.97695647,-0.48915542719,0.37432807828,26.22970383
6.701,2.871184653859785,2.7753453633155027,-0.2748943219,0.44053475199,-2.8238384445,-0.21305937732,0.09552766449,2.7655057499,52.21674805680233,-0.29536367155,1.0317453734,-25.979780257,-0.48936850808,0.3744236623,26.232469914
6.702,2.8712880586441245,2.7741834572014135,-0.27502135327,0.44045013771,-2.8239444129,-0.21301030078,0.095413657543,2.7643474275,52.22234050735898,-0.29563862952,1.0321858659,-25.982604149,-0.48958154363,0.37451913306,26.23523484
6.703,2.8713886454232593,2.7730177937574454,-0.27514662016,0.44036512922,-2.824047741,-0.21295448083,0.095294908288,2.7631860151,52.22793190530579,-0.29591371346,1.0326262734,-25.985428145,-0.48979452641,0.37461448804,26.237998608
