# Tier-0 from-onset MD ensemble-mean trajectory (18A). preset=single_pulse_N2000_18Angst_drag, N=50, seed=20260604, ion 20 ps dt=0.01, m_eff=202.953908 amu, window=[4.54,8.0] ps. Generated 2026-06-04 on branch drag_implementation.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.559999999999971187e+01,1.049777346888544542e+02,2.924347135861302238e+00,2.957672673549357256e+00
1.560999999999971166e+01,1.050365571800641789e+02,2.924877066348845034e+00,2.958211432623056858e+00
1.561999999999971145e+01,1.050953903577570969e+02,2.925406936775493794e+00,2.958750086862419693e+00
1.562999999999971124e+01,1.051542342202595250e+02,2.925936744505617693e+00,2.959288633771963273e+00
1.563999999999971102e+01,1.052130887658464218e+02,2.926466486917013832e+00,2.959827070869788468e+00
1.564999999999971081e+01,1.052719539927421408e+02,2.926996161400881480e+00,2.960365395687540424e+00
1.565999999999971060e+01,1.053308298991200047e+02,2.927525765361771892e+00,2.960903605770379254e+00
1.566999999999971038e+01,1.053897164831032569e+02,2.928055296217611847e+00,2.961441698676969825e+00
1.567999999999971017e+01,1.054486137427648771e+02,2.928584751399672115e+00,2.961979671979462214e+00
1.568999999999970996e+01,1.055075216761281780e+02,2.929114128352527491e+00,2.962517523263447305e+00
1.569999999999970974e+01,1.055664402811666491e+02,2.929643424534087437e+00,2.963055250127978990e+00
1.570999999999970953e+01,1.056253695558045962e+02,2.930172637415543679e+00,2.963592850185515992e+00
1.571999999999970932e+01,1.056843094979173543e+02,2.930701764481337790e+00,2.964130321061885009e+00
1.572999999999970910e+01,1.057432601053313306e+02,2.931230803229165627e+00,2.964667660396286042e+00
1.573999999999970889e+01,1.058022213758245442e+02,2.931759751169926709e+00,2.965204865841235549e+00
1.574999999999970868e+01,1.058611933071267401e+02,2.932288605827755745e+00,2.965741935062585100e+00
1.575999999999970846e+01,1.059201758969197016e+02,2.932817364739963573e+00,2.966278865739470749e+00
1.576999999999970825e+01,1.059791691428374776e+02,2.933346025457014061e+00,2.966815655564276621e+00
1.577999999999970804e+01,1.060381730424666387e+02,2.933874585542517011e+00,2.967352302242629580e+00
1.578999999999970782e+01,1.060971875933465896e+02,2.934403042573214382e+00,2.967888803493368588e+00
1.579999999999970761e+01,1.061562127929698534e+02,2.934931394138948324e+00,2.968425157048528273e+00
1.580999999999970740e+01,1.062152486387822847e+02,2.935459637842638081e+00,2.968961360653293635e+00
1.581999999999970719e+01,1.062742951281832262e+02,2.935987771300249793e+00,2.969497412065980502e+00
1.582999999999970697e+01,1.063333522585260482e+02,2.936515792140785397e+00,2.970033309057998228e+00
1.583999999999970676e+01,1.063924200271182059e+02,2.937043698006258197e+00,2.970569049413849250e+00
1.584999999999970655e+01,1.064514984312214096e+02,2.937571486551659117e+00,2.971104630931068247e+00
1.585999999999970633e+01,1.065105874680521936e+02,2.938099155444957589e+00,2.971640051420232354e+00
1.586999999999970612e+01,1.065696871347819012e+02,2.938626702367084231e+00,2.972175308704929630e+00
1.587999999999970591e+01,1.066287974285370410e+02,2.939154125011863794e+00,2.972710400621693339e+00
1.588999999999970569e+01,1.066879183463995986e+02,2.939681421086007607e+00,2.973245325019993945e+00
1.589999999999970548e+01,1.067470498854071934e+02,2.940208588309113136e+00,2.973780079762225359e+00
1.590999999999970527e+01,1.068061920425533629e+02,2.940735624413629345e+00,2.974314662723671177e+00
1.591999999999970505e+01,1.068653448147879459e+02,2.941262527144829608e+00,2.974849071792472266e+00
1.592999999999970484e+01,1.069245081990171684e+02,2.941789294260763743e+00,2.975383304869582357e+00
1.593999999999970463e+01,1.069836821921037853e+02,2.942315923532281108e+00,2.975917359868768486e+00
1.594999999999970441e+01,1.070428667908679188e+02,2.942842412742973757e+00,2.976451234716571026e+00
1.595999999999970420e+01,1.071020619920866039e+02,2.943368759689152014e+00,2.976984927352258392e+00
1.596999999999970399e+01,1.071612677924944421e+02,2.943894962179819164e+00,2.977518435727812385e+00
1.597999999999970377e+01,1.072204841887837432e+02,2.944421018036653681e+00,2.978051757807892219e+00
1.598999999999970356e+01,1.072797111776047529e+02,2.944946925093985257e+00,2.978584891569815429e+00
1.599999999999970335e+01,1.073389487555660651e+02,2.945472681198769926e+00,2.979117835003527226e+00
1.600999999999970314e+01,1.073981969192347208e+02,2.945998284210563867e+00,2.979650586111572075e+00
1.601999999999970470e+01,1.074574556651364645e+02,2.946523732001470997e+00,2.980183142909027083e+00
1.602999999999970626e+01,1.075167249897559429e+02,2.947049022456141198e+00,2.980715503423513546e+00
1.603999999999970782e+01,1.075760048895373586e+02,2.947574153471754776e+00,2.981247665695161864e+00
1.604999999999970939e+01,1.076352953608840153e+02,2.948099122957973606e+00,2.981779627776564912e+00
1.605999999999971095e+01,1.076945964001592273e+02,2.948623928836912711e+00,2.982311387732747843e+00
1.606999999999971251e+01,1.077539080036861066e+02,2.949148569043123835e+00,2.982842943641148992e+00
1.607999999999971408e+01,1.078132301677481450e+02,2.949673041523563466e+00,2.983374293591570581e+00
1.608999999999971564e+01,1.078725628885892718e+02,2.950197344237569741e+00,2.983905435686174279e+00
1.609999999999971720e+01,1.079319061624141938e+02,2.950721475156846019e+00,2.984436368039435905e+00
1.610999999999971877e+01,1.079912599853884103e+02,2.951245432265396929e+00,2.984967088778100130e+00
1.611999999999972033e+01,1.080506243536388666e+02,2.951769213559528371e+00,2.985497596041158719e+00
1.612999999999972189e+01,1.081099992632538971e+02,2.952292817047805773e+00,2.986027887979820328e+00
1.613999999999972346e+01,1.081693847102835093e+02,2.952816240751041210e+00,2.986557962757481199e+00
1.614999999999972502e+01,1.082287806907396259e+02,2.953339482702252994e+00,2.987087818549688301e+00
1.615999999999972658e+01,1.082881872005965249e+02,2.953862540946639026e+00,2.987617453544109569e+00
1.616999999999972815e+01,1.083476042357908540e+02,2.954385413541544825e+00,2.988146865940488617e+00
1.617999999999972971e+01,1.084070317922218720e+02,2.954908098556434215e+00,2.988676053950626965e+00
1.618999999999973127e+01,1.084664698657518045e+02,2.955430594072873784e+00,2.989205015798349407e+00
1.619999999999973284e+01,1.085259184522061702e+02,2.955952898184475153e+00,2.989733749719456046e+00
1.620999999999973440e+01,1.085853775473735965e+02,2.956475008996897191e+00,2.990262253961704975e+00
1.621999999999973596e+01,1.086448471470067290e+02,2.956996924627803836e+00,2.990790526784790071e+00
1.622999999999973753e+01,1.087043272468218618e+02,2.957518643206809461e+00,2.991318566460261064e+00
1.623999999999973909e+01,1.087638178424993782e+02,2.958040162875474444e+00,2.991846371271516869e+00
1.624999999999974065e+01,1.088233189296842767e+02,2.958561481787272740e+00,2.992373939513791381e+00
1.625999999999974222e+01,1.088828305039857867e+02,2.959082598107568796e+00,2.992901269494101957e+00
1.626999999999974378e+01,1.089423525609782928e+02,2.959603510013594896e+00,2.993428359531227656e+00
1.627999999999974534e+01,1.090018850962011641e+02,2.960124215694363681e+00,2.993955207955637743e+00
1.628999999999974690e+01,1.090614281051589387e+02,2.960644713350687685e+00,2.994481813109482360e+00
1.629999999999974847e+01,1.091209815833218642e+02,2.961165001195149582e+00,2.995008173346570768e+00
1.630999999999975003e+01,1.091805455261259112e+02,2.961685077452029358e+00,2.995534287032305176e+00
1.631999999999975159e+01,1.092401199289729448e+02,2.962204940357322958e+00,2.996060152543673194e+00
1.632999999999975316e+01,1.092997047872312919e+02,2.962724588158672567e+00,2.996585768269193206e+00
1.633999999999975472e+01,1.093593000962354722e+02,2.963244019115358174e+00,2.997111132608897055e+00
1.634999999999975628e+01,1.094189058512869792e+02,2.963763231498280692e+00,2.997636243974306502e+00
1.635999999999975785e+01,1.094785220476541525e+02,2.964282223589886023e+00,2.998161100788361288e+00
1.636999999999975941e+01,1.095381486805723057e+02,2.964800993684145070e+00,2.998685701485385380e+00
1.637999999999976097e+01,1.095977857452443800e+02,2.965319540086543526e+00,2.999210044511084305e+00
1.638999999999976254e+01,1.096574332368409301e+02,2.965837861114037466e+00,2.999734128322487425e+00
1.639999999999976410e+01,1.097170911505001527e+02,2.966355955095003161e+00,3.000257951387909738e+00
1.640999999999976566e+01,1.097767594813284830e+02,2.966873820369233528e+00,3.000781512186920796e+00
1.641999999999976723e+01,1.098364382244006663e+02,2.967391455287899937e+00,3.001304809210330937e+00
1.642999999999976879e+01,1.098961273747598568e+02,2.967908858213494927e+00,3.001827840960113569e+00
1.643999999999977035e+01,1.099558269274180589e+02,2.968426027519819765e+00,3.002350605949391849e+00
1.644999999999977192e+01,1.100155368773562117e+02,2.968942961591961360e+00,3.002873102702405372e+00
1.645999999999977348e+01,1.100752572195245875e+02,2.969459658826222981e+00,3.003395329754467991e+00
1.646999999999977504e+01,1.101349879488425358e+02,2.969976117630135803e+00,3.003917285651937163e+00
1.647999999999977661e+01,1.101947290601993643e+02,2.970492336422390522e+00,3.004438968952169997e+00
1.648999999999977817e+01,1.102544805484542536e+02,2.971008313632816922e+00,3.004960378223481055e+00
1.649999999999977973e+01,1.103142424084362574e+02,2.971524047702342131e+00,3.005481512045117931e+00
1.650999999999978129e+01,1.103740146349448565e+02,2.972039537082971972e+00,3.006002369007217290e+00
1.651999999999978286e+01,1.104337972227500160e+02,2.972554780237756322e+00,3.006522947710785321e+00
1.652999999999978442e+01,1.104935901665926252e+02,2.973069775640729606e+00,3.007043246767627132e+00
1.653999999999978598e+01,1.105533934611842000e+02,2.973584521776887701e+00,3.007563264800321434e+00
1.654999999999978755e+01,1.106132071012076779e+02,2.974099017142183499e+00,3.008083000442212995e+00
