t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
2.0000000000000001e-01,1.4638222850238267e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4638222850238267e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7770700163355819e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7770700163355819e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0151169609731145e-01,2.3088295872774112e-01,3.3239465482505259e-01
2.0999999999999999e-01,1.4308503307958960e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4308503307958960e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7627380302264823e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7627380302264823e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8635900844235195e-01,1.4482982249266227e-01,3.3118883093501422e-01
2.2000000000000000e-01,1.3885675244192970e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3885675244192970e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.5617443760915188e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5617443760915188e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7390774713895782e-01,5.4385560589910620e-02,3.2829330772886844e-01
2.3000000000000001e-01,1.3396154432740655e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3396154432740655e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9474549962608272e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9474549962608272e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2218560316290895e-01,1.1370619268507071e-03,3.2332266508975965e-01
2.3999999999999999e-01,1.2896184244940805e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2896184244940805e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.5485747520874762e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5485747520874762e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7232850257193203e-01,4.7833340478387790e-02,3.2016184305031981e-01
2.5000000000000000e-01,1.2486439482323159e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2486439482323159e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9914911016848507e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9914911016848507e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1779255878997202e-01,2.1113816354061574e-01,3.2893072233058773e-01
2.6000000000000001e-01,1.2297886024603835e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2297886024603835e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7926677786682461e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.7926677786682461e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8933549062810275e-03,3.4026394801664239e-01,3.4215730292292340e-01
2.7000000000000002e-01,1.2410586126749796e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2410586126749796e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3854644427861529e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3854644427861529e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4901121449897259e-02,2.5833568026729892e-01,3.3323680171719616e-01
2.8000000000000003e-01,1.2774978913161068e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2774978913161068e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2619475069120920e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.2619475069120920e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3908846181305704e-01,8.1860806736829592e-02,3.2094926854988665e-01
2.8999999999999998e-01,1.3262975628132216e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3262975628132216e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9365282510639217e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9365282510639217e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2076404300917577e-01,1.2082840592909352e-03,3.2197232706846668e-01
2.9999999999999999e-01,1.3762284563373852e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3762284563373852e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7153593635692310e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7153593635692310e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9266582905738731e-01,3.4491081552976491e-02,3.2715691061036378e-01
3.1000000000000000e-01,1.4206047500846062e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4206047500846062e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9968030712267373e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.9968030712267373e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1026545443112934e-01,1.2036812851796794e-01,3.3063358294909728e-01
3.2000000000000001e-01,1.4561645177619200e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4561645177619200e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0455054622585944e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.0455054622585944e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2208468608009813e-01,2.1010258914083074e-01,3.3218727522092889e-01
3.3000000000000002e-01,1.4815148593297780e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4815148593297780e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9985158452047203e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9985158452047203e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.2572377425616337e-02,2.8015575482088240e-01,3.3272813224649872e-01
3.4000000000000002e-01,1.4961348346660144e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4961348346660144e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.1737674075648523e-01,0.0000000000000000e+00,0.0000000000000000e+00,-9.1737674075648523e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1077400936432672e-02,3.2179391431880761e-01,3.3287131525524027e-01
3.5000000000000003e-01,1.4998623941449079e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4998623941449079e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7323583561005740e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.7323583561005740e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.9501891863265439e-04,3.3249623224667202e-01,3.3289125116530466e-01
3.5999999999999999e-01,1.4926701179538133e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4926701179538133e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2623307981219762e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2623307981219762e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0974363080167830e-02,3.1187267321102191e-01,3.3284703629118972e-01
3.7000000000000000e-01,1.4746157781824685e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4746157781824685e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3364819656445874e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3364819656445874e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1856703852908627e-02,2.6076393797032921e-01,3.3262064182323781e-01
3.8000000000000000e-01,1.4459404786409218e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4459404786409218e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.3624022914021650e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3624022914021650e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4881330813751165e-01,1.8303129769455975e-01,3.3184460583207143e-01
3.9000000000000001e-01,1.4073677323544254e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4073677323544254e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.2596741084391390e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2596741084391390e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3883346178066811e-01,9.0944696943032768e-02,3.2977815872370086e-01
4.0000000000000002e-01,1.3607469964721390e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3607469964721390e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.8563504344927635e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8563504344927635e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1042912525104466e-01,1.5156799532905774e-02,3.2558592478395043e-01
4.1000000000000003e-01,1.3102407236645699e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3102407236645699e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.8399355812548466e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8399355812548466e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0833412129677568e-01,1.2337625868359816e-02,3.2067174716513547e-01
4.1999999999999998e-01,1.2639482848470420e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2639482848470420e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7991432124614839e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7991432124614839e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8998256869567404e-01,1.3337403461910460e-01,3.2335660331477867e-01
4.2999999999999999e-01,1.2342578594153402e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2342578594153402e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5642000461701331e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5642000461701331e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2205275155537567e-02,3.0600847208016163e-01,3.3821374723569919e-01
4.4000000000000000e-01,1.2326642839236392e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2326642839236392e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2811627958872172e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2811627958872172e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1604840398706228e-02,3.1794945228591126e-01,3.3955429268461751e-01
4.5000000000000001e-01,1.2598811153330844e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2598811153330844e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6211505361316436e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6211505361316436e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7259793050194785e-01,1.5189661083456371e-01,3.2449454133651157e-01
4.6000000000000002e-01,1.3050872946462719e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3050872946462719e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7866446419359079e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7866446419359079e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0158157088780152e-01,1.8805530552601618e-02,3.2038710144040317e-01
