v_mps,signal_296,signal_297
1454.088,0.0838747615299402,0.842913965068045
1459.724,0.367643124890382,0.227230110190458
1465.36,0.699116891203076,-0.364997131631217
1470.996,0.606109612897044,-0.43899331362197
1476.632,0.760373961776611,-0.260375794234226
1482.268,0.640957341996407,0.0690619056320561
1487.904,0.222530068967364,0.301657298253657
1493.54,-0.47615515971264,0.544909661315625
1499.176,-0.613973101976388,1.15385772652968
1504.812,-0.360283572431567,1.64382872624407
1510.448,-0.12737591985151,1.75928957149066
1516.084,-0.643824910137165,1.14464553018686
1521.72,-1.43773829714899,0.115978513925008
1527.356,-1.91188436527664,-0.980771290446152
1532.992,-1.90103902366194,-1.80046346146041
1538.628,-1.2935057352452,-1.97251564088927
1544.264,-0.939411614790086,-1.81170376304068
1549.9,-0.969844456072916,-1.28338349202268
1555.536,-1.18017420163534,-0.565825313165326
1561.172,-1.06169225863342,-0.269886521973332
1566.808,-0.48744435863285,-0.299008467056415
1572.444,-0.0318235586944207,-0.385225068933246
1578.08,-0.0573305480447095,-0.641303274026519
1583.716,0.0689736854628862,-0.700090328584055
1589.352,0.18270673119559,-0.45291591399542
1594.988,0.18147887893462,-0.313097606401005
1600.624,-0.273680331428106,-0.362835955889461
1606.26,-1.01625910095223,-0.65787782465539
1611.896,-1.57018191502797,-1.21193094958404
1617.532,-1.53699267239969,-1.40986151284479
1623.168,-1.33496358957787,-1.20166515786628
1628.804,-0.868567942601312,-1.13001076422089
1634.44,-0.43953388095554,-0.703119505750525
1640.076,-0.00402971713368405,-0.534646634387564
1645.712,0.422190838987171,-0.480580421458479
1651.348,0.487094398425997,-0.85010159414705
1656.984,0.287005917376432,-1.64007770988102
1662.62,0.103763522316155,-1.96454337602658
