t_ps,atom_idx,dE_eV,E0_eV
1.2400000000000000e+00,103,6.0744391095588490e-03,1.2802042140435052e-01
1.2400000000000000e+00,188,8.4888186876301286e-03,1.2678487995140056e-01
1.2400000000000000e+00,194,6.9570932784363132e-03,1.2240098607720731e-01
1.2400000000000000e+00,243,1.3856345689272215e-02,1.6455092219881398e-01
1.2400000000000000e+00,280,4.1157893568571913e-04,1.6075036840679080e-01
1.2400000000000000e+00,317,1.2712451082203355e-02,1.2991430502639670e-01
1.2400000000000000e+00,327,1.0725217010136484e-02,1.3463573478699173e-01
1.2400000000000000e+00,391,1.5476517754372449e-02,1.6455092219881398e-01
1.2400000000000000e+00,471,1.1401410182629301e-03,1.3670777424453887e-01
1.2400000000000000e+00,522,9.6378276737616730e-03,1.4793122413903889e-01
1.2400000000000000e+00,546,3.4409083703095811e-03,1.3602772459405379e-01
1.2400000000000000e+00,565,1.0947378282552572e-02,1.6455092219881395e-01
1.2400000000000000e+00,601,6.0953989154630961e-03,1.3135749303945346e-01
1.2400000000000000e+00,622,1.2501903861468933e-02,1.5292962819390649e-01
1.2400000000000000e+00,728,7.5262615654966836e-03,1.5115825725334955e-01
1.2400000000000000e+00,811,1.1652315665213436e-02,1.4644059516680780e-01
1.2400000000000000e+00,878,1.6590279897761018e-03,1.5703445760733428e-01
1.2400000000000000e+00,894,1.4258645771131243e-02,1.3089853178686356e-01
1.2400000000000000e+00,995,7.4656110871696990e-03,1.4460846119140314e-01
1.2500000000000000e+00,10,1.0456533862667677e-02,1.4508625485885063e-01
1.2500000000000000e+00,23,1.3427000746791665e-02,1.3002739146078890e-01
1.2500000000000000e+00,143,1.1659326441871926e-02,1.5126768192559795e-01
1.2500000000000000e+00,175,5.4202840099040889e-03,1.2723349096191697e-01
1.2500000000000000e+00,250,1.5650294397575162e-02,1.3788457692735692e-01
1.2500000000000000e+00,350,7.4522140551265548e-03,1.4033915913951439e-01
1.2500000000000000e+00,372,1.1687484083071353e-03,1.3879968227149184e-01
1.2500000000000000e+00,379,9.6591069096083337e-03,1.4532828787822069e-01
1.2500000000000000e+00,423,9.8791498156482471e-03,1.4068320660817660e-01
1.2500000000000000e+00,476,2.8216378208449633e-03,1.5207408692141389e-01
1.2500000000000000e+00,486,1.8680447945578493e-03,1.4035797476804523e-01
