t_ps,mean_E_kin_eV,var_E_kin_eV,mean_E_dissip_eV,var_E_dissip_eV,n_coll_this_step,n_coll_cumulative
9.6999999999999997e-01,1.4187846446615168e-01,2.1523029541924865e-04,2.2654316500026125e-02,2.1523029541924878e-04,13,2466
9.7999999999999998e-01,1.4174137992927865e-01,2.1705385277440628e-04,2.2791401036899181e-02,2.1705385277440641e-04,14,2480
9.8999999999999999e-01,1.4153810345777584e-01,2.2077320364052109e-04,2.2994677508401968e-02,2.2077320364052120e-04,27,2507
1.0000000000000000e+00,1.4136871315814750e-01,2.2354328578399731e-04,2.3164067808030313e-02,2.2354328578399747e-04,23,2530
1.0100000000000000e+00,1.4116695075154473e-01,2.2464368286301650e-04,2.3365830214633058e-02,2.2464368286301663e-04,23,2553
1.0200000000000000e+00,1.4095290006220029e-01,2.2779703793189343e-04,2.3579880903977540e-02,2.2779703793189359e-04,24,2577
1.0300000000000000e+00,1.4084071182415916e-01,2.2697804584016141e-04,2.3692069142018667e-02,2.2697804584016155e-04,14,2591
1.0400000000000000e+00,1.4063552579817432e-01,2.2931790619140350e-04,2.3897255168003499e-02,2.2931790619140364e-04,28,2619
1.0500000000000000e+00,1.4038886107237658e-01,2.2987018560490237e-04,2.4143919893801241e-02,2.2987018560490256e-04,26,2645
1.0600000000000001e+00,1.4014677585703783e-01,2.3076347527223459e-04,2.4386005109139991e-02,2.3076347527223472e-04,25,2670
1.0700000000000001e+00,1.3995862171163267e-01,2.3044531931284696e-04,2.4574159254545154e-02,2.3044531931284713e-04,23,2693
1.0800000000000001e+00,1.3980133459723185e-01,2.3105062696566220e-04,2.4731446368945975e-02,2.3105062696566236e-04,17,2710
1.0900000000000001e+00,1.3957384347320403e-01,2.3436201785335069e-04,2.4958937492973794e-02,2.3436201785335091e-04,29,2739
1.1000000000000001e+00,1.3936760261847991e-01,2.3760439162557828e-04,2.5165178347697905e-02,2.3760439162557844e-04,29,2768
1.1100000000000001e+00,1.3914213743415102e-01,2.3723693251590484e-04,2.5390643532026792e-02,2.3723693251590501e-04,27,2795
1.1200000000000001e+00,1.3889536124350957e-01,2.4021843368806167e-04,2.5637419722668277e-02,2.4021843368806183e-04,28,2823
1.1300000000000001e+00,1.3874661780879735e-01,2.4240368385090665e-04,2.5786163157380484e-02,2.4240368385090684e-04,16,2839
1.1400000000000001e+00,1.3856507155162046e-01,2.4260697280634446e-04,2.5967709414557390e-02,2.4260697280634462e-04,28,2867
1.1500000000000001e+00,1.3834143272010740e-01,2.4336363636953342e-04,2.6191348246070424e-02,2.4336363636953359e-04,31,2898
1.1599999999999999e+00,1.3806416857239481e-01,2.4162886835325356e-04,2.6468612393783005e-02,2.4162886835325378e-04,32,2930
1.1699999999999999e+00,1.3789042584941180e-01,2.4300869751775725e-04,2.6642355116766020e-02,2.4300869751775746e-04,24,2954
1.1799999999999999e+00,1.3774623852645856e-01,2.4442952353536019e-04,2.6786542439719278e-02,2.4442952353536041e-04,20,2974
1.1899999999999999e+00,1.3748988358233780e-01,2.4467001449470052e-04,2.7042897383840043e-02,2.4467001449470080e-04,33,3007
1.2000000000000000e+00,1.3733565005287937e-01,2.4687359885180245e-04,2.7197130913298437e-02,2.4687359885180267e-04,20,3027
1.2100000000000000e+00,1.3711188219969039e-01,2.4503314629210486e-04,2.7420898766487428e-02,2.4503314629210514e-04,26,3053
1.2200000000000000e+00,1.3691270117520646e-01,2.4659164641988788e-04,2.7620079790971360e-02,2.4659164641988805e-04,28,3081
1.2300000000000000e+00,1.3673814384359395e-01,2.5003796477047905e-04,2.7794637122583850e-02,2.5003796477047932e-04,22,3103
1.2400000000000000e+00,1.3656534454145081e-01,2.4916035484912882e-04,2.7967436424727019e-02,2.4916035484912904e-04,22,3125
1.2500000000000000e+00,1.3633388609118618e-01,2.4732645923775007e-04,2.8198894874991672e-02,2.4732645923775028e-04,27,3152
1.2600000000000000e+00,1.3611331570219540e-01,2.4872972580118369e-04,2.8419465263982421e-02,2.4872972580118396e-04,28,3180
1.2700000000000000e+00,1.3595130676981074e-01,2.4808372098627439e-04,2.8581474196367078e-02,2.4808372098627455e-04,28,3208
1.2800000000000000e+00,1.3569711243884716e-01,2.4912607654619968e-04,2.8835668527330650e-02,2.4912607654619995e-04,28,3236
1.2900000000000000e+00,1.3551965770045865e-01,2.4829656448729009e-04,2.9013123265719164e-02,2.4829656448729031e-04,24,3260
1.3000000000000000e+00,1.3536691984397514e-01,2.5030905456544829e-04,2.9165861122202694e-02,2.5030905456544851e-04,24,3284
1.3100000000000001e+00,1.3509682748651322e-01,2.5284044320068622e-04,2.9435953479664590e-02,2.5284044320068644e-04,31,3315
1.3200000000000001e+00,1.3493481873971477e-01,2.5360022053327668e-04,2.9597962226463041e-02,2.5360022053327690e-04,24,3339
1.3300000000000001e+00,1.3471841808801452e-01,2.5674103802416693e-04,2.9814362878163300e-02,2.5674103802416715e-04,28,3367
1.3400000000000001e+00,1.3448641911733847e-01,2.5667849491397209e-04,3.0046361848839347e-02,2.5667849491397226e-04,23,3390
1.3500000000000001e+00,1.3427654279592424e-01,2.5863619164867980e-04,3.0256238170253576e-02,2.5863619164867997e-04,25,3415
1.3600000000000001e+00,1.3405417107010134e-01,2.6119646092282746e-04,3.0478609896076463e-02,2.6119646092282763e-04,29,3444
1.3700000000000001e+00,1.3387037457138976e-01,2.6163930935292070e-04,3.0662406394788053e-02,2.6163930935292092e-04,23,3467
1.3800000000000001e+00,1.3367666447780896e-01,2.6304094787330147e-04,3.0856116488368869e-02,2.6304094787330169e-04,26,3493
1.3900000000000001e+00,1.3349916397302422e-01,2.6188966909057164e-04,3.1033616993153584e-02,2.6188966909057181e-04,21,3514
1.4000000000000001e+00,1.3326711268934813e-01,2.6236588242187187e-04,3.1265668276829708e-02,2.6236588242187209e-04,29,3543
1.4099999999999999e+00,1.3303825625335475e-01,2.6392611047468246e-04,3.1494524712823081e-02,2.6392611047468273e-04,29,3572
1.4199999999999999e+00,1.3290941541254778e-01,2.6511617495918649e-04,3.1623365553630024e-02,2.6511617495918676e-04,15,3587
1.4299999999999999e+00,1.3276324938520176e-01,2.6667828859301901e-04,3.1769531580976069e-02,2.6667828859301923e-04,21,3608
1.4399999999999999e+00,1.3255048269422395e-01,2.6788118416229000e-04,3.1982298271953910e-02,2.6788118416229027e-04,27,3635
1.4500000000000000e+00,1.3225923155016900e-01,2.6625829799866140e-04,3.2273549416008816e-02,2.6625829799866162e-04,32,3667
1.4600000000000000e+00,1.3207014804014883e-01,2.6556406624999180e-04,3.2462632926028974e-02,2.6556406624999202e-04,24,3691
1.4700000000000000e+00,1.3191155235275578e-01,2.6809445507777605e-04,3.2621228613422017e-02,2.6809445507777627e-04,24,3715
1.4800000000000000e+00,1.3170246709056427e-01,2.6847347125098222e-04,3.2830313875613554e-02,2.6847347125098244e-04,23,3738
1.4900000000000000e+00,1.3152779880900942e-01,2.7018039098412704e-04,3.3004982157168385e-02,2.7018039098412725e-04,23,3761
1.5000000000000000e+00,1.3135556757770575e-01,2.7212969964880165e-04,3.3177213388472064e-02,2.7212969964880186e-04,20,3781
1.5100000000000000e+00,1.3112028224269931e-01,2.7304113096866372e-04,3.3412498723478505e-02,2.7304113096866399e-04,34,3815
1.5200000000000000e+00,1.3094341559120853e-01,2.7447867978747570e-04,3.3589365374969295e-02,2.7447867978747586e-04,22,3837
1.5300000000000000e+00,1.3081734563896652e-01,2.7524285811034291e-04,3.3715435327211309e-02,2.7524285811034318e-04,19,3856
1.5400000000000000e+00,1.3063540899057960e-01,2.7605095624233891e-04,3.3897371975598202e-02,2.7605095624233912e-04,23,3879
1.5500000000000000e+00,1.3047159399570493e-01,2.7889596608876653e-04,3.4061186970472904e-02,2.7889596608876674e-04,19,3898
1.5600000000000001e+00,1.3025850890278759e-01,2.8071545609382450e-04,3.4274272063390260e-02,2.8071545609382477e-04,27,3925
1.5700000000000001e+00,1.2993517435579272e-01,2.8042419332149383e-04,3.4597606610385086e-02,2.8042419332149410e-04,36,3961
1.5800000000000001e+00,1.2977281094622470e-01,2.8234902037160890e-04,3.4759970019953144e-02,2.8234902037160917e-04,22,3983
1.5900000000000001e+00,1.2963601443288011e-01,2.8206771494646915e-04,3.4896766533297714e-02,2.8206771494646948e-04,17,4000
1.6000000000000001e+00,1.2948202464590411e-01,2.8220660673814395e-04,3.5050756320273699e-02,2.8220660673814428e-04,22,4022
1.6100000000000001e+00,1.2932746290763031e-01,2.8511355974129669e-04,3.5205318058547520e-02,2.8511355974129697e-04,22,4044
1.6200000000000001e+00,1.2917469607275134e-01,2.8838531171713577e-04,3.5358084893426477e-02,2.8838531171713610e-04,20,4064
1.6300000000000001e+00,1.2903748231668716e-01,2.8933744537763307e-04,3.5495298649490685e-02,2.8933744537763345e-04,23,4087
1.6400000000000001e+00,1.2877892086541004e-01,2.8942369913073364e-04,3.5753860100767788e-02,2.8942369913073402e-04,31,4118
1.6500000000000001e+00,1.2857791443873567e-01,2.9115584219803085e-04,3.5954866527442168e-02,2.9115584219803112e-04,23,4141
1.6600000000000001e+00,1.2846110417234083e-01,2.9083310842806449e-04,3.6071676793836979e-02,2.9083310842806476e-04,16,4157
1.6699999999999999e+00,1.2827228452610162e-01,2.9395697781984582e-04,3.6260496440076187e-02,2.9395697781984609e-04,22,4179
1.6799999999999999e+00,1.2813769547799370e-01,2.9296364970820909e-04,3.6395085488184133e-02,2.9296364970820941e-04,19,4198
1.6899999999999999e+00,1.2799002565428802e-01,2.9131261318285541e-04,3.6542755311889802e-02,2.9131261318285568e-04,18,4216
1.7000000000000000e+00,1.2775886449127946e-01,2.9363168154328403e-04,3.6773916474898347e-02,2.9363168154328435e-04,30,4246
1.7100000000000000e+00,1.2756082001545035e-01,2.9511114530577151e-04,3.6971960950727467e-02,2.9511114530577184e-04,22,4268
1.7200000000000000e+00,1.2736905489094033e-01,2.9481306550062635e-04,3.7163726075237477e-02,2.9481306550062668e-04,25,4293
1.7300000000000000e+00,1.2724928069083288e-01,2.9566378493495454e-04,3.7283500275344932e-02,2.9566378493495481e-04,16,4309
1.7400000000000000e+00,1.2705768772331202e-01,2.9592939768776993e-04,3.7475093242865812e-02,2.9592939768777020e-04,27,4336
1.7500000000000000e+00,1.2694230612583179e-01,2.9584156772228517e-04,3.7590474840346007e-02,2.9584156772228544e-04,16,4352
1.7600000000000000e+00,1.2680677982864999e-01,2.9584393261165149e-04,3.7726001137527831e-02,2.9584393261165176e-04,22,4374
1.7700000000000000e+00,1.2658074185326904e-01,2.9439249127438026e-04,3.7952039112908766e-02,2.9439249127438059e-04,28,4402
1.7800000000000000e+00,1.2641076202229654e-01,2.9308750881180652e-04,3.8122018943881300e-02,2.9308750881180680e-04,21,4423
1.7900000000000000e+00,1.2629106264980200e-01,2.9473951143626625e-04,3.8241718316375808e-02,2.9473951143626663e-04,18,4441
1.8000000000000000e+00,1.2604707277809363e-01,2.9586833305329373e-04,3.8485708188084188e-02,2.9586833305329411e-04,31,4472
1.8100000000000001e+00,1.2581543300043077e-01,2.9439421948843027e-04,3.8717347965747065e-02,2.9439421948843065e-04,27,4499
1.8200000000000001e+00,1.2558011399025110e-01,2.9477031640858436e-04,3.8952666975926718e-02,2.9477031640858469e-04,30,4529
1.8300000000000001e+00,1.2542111562146838e-01,2.9481371095074332e-04,3.9111665344709452e-02,2.9481371095074364e-04,21,4550
1.8400000000000001e+00,1.2528359135728265e-01,2.9511179699989010e-04,3.9249189608895167e-02,2.9511179699989043e-04,21,4571
1.8500000000000001e+00,1.2508009831339581e-01,2.9334090898521837e-04,3.9452682652782005e-02,2.9334090898521870e-04,27,4598
1.8600000000000001e+00,1.2488981517860596e-01,2.9325706452808844e-04,3.9642965787571850e-02,2.9325706452808877e-04,21,4619
1.8700000000000001e+00,1.2480468367760580e-01,2.9318837046414325e-04,3.9728097288572010e-02,2.9318837046414357e-04,12,4631
1.8800000000000001e+00,1.2461828804636213e-01,2.9485689144174862e-04,3.9914492919815699e-02,2.9485689144174900e-04,24,4655
1.8900000000000001e+00,1.2444544812414218e-01,2.9592629748517984e-04,4.0087332842035625e-02,2.9592629748518017e-04,20,4675
1.9000000000000001e+00,1.2427867512039728e-01,2.9754236073573813e-04,4.0254105845780548e-02,2.9754236073573851e-04,21,4696
1.9100000000000001e+00,1.2412764274601215e-01,2.9938440415537435e-04,4.0405138220165657e-02,2.9938440415537473e-04,20,4716
1.9199999999999999e+00,1.2398524115959438e-01,2.9898600223452263e-04,4.0547539806583439e-02,2.9898600223452306e-04,15,4731
1.9299999999999999e+00,1.2377011048492273e-01,2.9878110772466374e-04,4.0762670481255113e-02,2.9878110772466417e-04,29,4760
1.9399999999999999e+00,1.2357577923904103e-01,3.0109548183907133e-04,4.0957001727136781e-02,3.0109548183907176e-04,23,4783
1.9500000000000000e+00,1.2344813428543616e-01,3.0197228046227918e-04,4.1084646680741646e-02,3.0197228046227955e-04,18,4801
1.9600000000000000e+00,1.2318912811477790e-01,3.0173920247974459e-04,4.1343652851399917e-02,3.0173920247974492e-04,30,4831
1.9700000000000000e+00,1.2297260468323970e-01,3.0242558908005670e-04,4.1560176282938129e-02,3.0242558908005702e-04,34,4865
1.9800000000000000e+00,1.2282310167344690e-01,3.0179523117843500e-04,4.1709679292730922e-02,3.0179523117843538e-04,19,4884
1.9900000000000000e+00,1.2266788623308787e-01,3.0390463809412606e-04,4.1864894733089957e-02,3.0390463809412639e-04,24,4908
2.0000000000000000e+00,1.2254885696719435e-01,3.0423310736934838e-04,4.1983923998983458e-02,3.0423310736934876e-04,19,4927
