# Tier-1a MD ensemble-mean trajectory. run_tag=tier1a_fixed, scenario=fixed, t_star_ps=None, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.378999999999975046e+01,1.057548744519910713e+02,3.038298180270150972e+00,3.038298180270150972e+00
1.379999999999975024e+01,1.058156453030947119e+02,3.038786956505633352e+00,3.038786956505633352e+00
1.380999999999975003e+01,1.058764259320488605e+02,3.039275963553490278e+00,3.039275963553490278e+00
1.381999999999974982e+01,1.059372163434222074e+02,3.039765196662257640e+00,3.039765196662257640e+00
1.382999999999974960e+01,1.059980165416885143e+02,3.040254651104617789e+00,3.040254651104617789e+00
1.383999999999974939e+01,1.060588265312274103e+02,3.040744322177325820e+00,3.040744322177325820e+00
1.384999999999974918e+01,1.061196463163245767e+02,3.041234205201176710e+00,3.041234205201176710e+00
1.385999999999974897e+01,1.061804759011724286e+02,3.041724295520964461e+00,3.041724295520964461e+00
1.386999999999974875e+01,1.062413152898704851e+02,3.042214588505456785e+00,3.042214588505456785e+00
1.387999999999974854e+01,1.063021644864259230e+02,3.042705079547356917e+00,3.042705079547356917e+00
1.388999999999974833e+01,1.063630234947537758e+02,3.043195764063280517e+00,3.043195764063280517e+00
1.389999999999974811e+01,1.064238923186781136e+02,3.043686637493689950e+00,3.043686637493689950e+00
1.390999999999974790e+01,1.064847709619316589e+02,3.044177695302865860e+00,3.044177695302865860e+00
1.391999999999974769e+01,1.065456594281566680e+02,3.044668932978879194e+00,3.044668932978879194e+00
1.392999999999974747e+01,1.066065577209056983e+02,3.045160346033511711e+00,3.045160346033511711e+00
1.393999999999974726e+01,1.066674658436414802e+02,3.045651930002271524e+00,3.045651930002271524e+00
1.394999999999974705e+01,1.067283837997378271e+02,3.046143680444332702e+00,3.046143680444332702e+00
1.395999999999974683e+01,1.067893115924799048e+02,3.046635592942481541e+00,3.046635592942481541e+00
1.396999999999974662e+01,1.068502492250649567e+02,3.047127663103077921e+00,3.047127663103077921e+00
1.397999999999974641e+01,1.069111967006022610e+02,3.047619886555994029e+00,3.047619886555994029e+00
1.398999999999974619e+01,1.069721540221141538e+02,3.048112258954617904e+00,3.048112258954617904e+00
1.399999999999974598e+01,1.070331211925363704e+02,3.048604775975789938e+00,3.048604775975789938e+00
1.400999999999974577e+01,1.070940982147181302e+02,3.049097433319746475e+00,3.049097433319746475e+00
1.401999999999974555e+01,1.071550850914230750e+02,3.049590226710097163e+00,3.049590226710097163e+00
1.402999999999974534e+01,1.072160818253295531e+02,3.050083151893758338e+00,3.050083151893758338e+00
1.403999999999974513e+01,1.072770884190310454e+02,3.050576204640906841e+00,3.050576204640906841e+00
1.404999999999974492e+01,1.073381048750366205e+02,3.051069380744974691e+00,3.051069380744974691e+00
1.405999999999974470e+01,1.073991311957715169e+02,3.051562676022567366e+00,3.051562676022567366e+00
1.406999999999974449e+01,1.074601673835775131e+02,3.052056086313419847e+00,3.052056086313419847e+00
1.407999999999974428e+01,1.075212134407134386e+02,3.052549607480351757e+00,3.052549607480351757e+00
1.408999999999974406e+01,1.075822693693556005e+02,3.053043235409238054e+00,3.053043235409238054e+00
1.409999999999974385e+01,1.076433351715982099e+02,3.053536966008942866e+00,3.053536966008942866e+00
1.410999999999974364e+01,1.077044108494538932e+02,3.054030795211274185e+00,3.054030795211274185e+00
