group,label,v_c,well,tau,E0,R_A,depth_mean_A,num_scored,nbar_det,n1_solv,w1_solv,midHot,deepKE,supp,trap,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_n,KE2_n,KE1_r100,KE1_rmed,KE2_r,md_gate
g3ring,b033,6.0,eb1168,6.4,0.33,-,-,803,3.676214196762142,0.24421965317919075,0.9725565705874379,0.40657769764967017,0.6265733935900505,0.1382316313823163,0.197,0.43097535493048145,0.4366013506512531,0.48124999999999996,0.2829495639835773,0.285432225066402,0.30624999999999997,169,97,0.43097535493048145,0.3820703501156751,0.4007784192401945,0
g3ring,c50,5.0,eb1168,4.8,0.34,-,-,977,4.345957011258956,0.18494623655913978,0.9950377689217064,1.923417273149901,1.0642278862013812,0.048106448311156604,0.023,0.9564261922924456,0.9541884743621472,0.91875,0.8814636832609172,0.8817166324948409,0.91875,172,138,0.9564261922924456,0.8478955605429483,1.2485321292647553,0
g3ring,c65,6.5,eb1168,6.4,0.33,-,-,678,4.6946902654867255,0.16535433070866143,1.3150779802061185,0.41504548560542515,0.8060794929942413,0.06342182890855458,0.322,0.27886138214453254,0.27855596680327527,0.30624999999999997,0.22192826989463654,0.22285762417079863,0.21874999999999997,105,90,0.27886138214453254,0.24721753736217428,0.31434599135217645,0
g3ring,d030,5.5,eb1168,6.4,0.3,-,-,911,3.942919868276619,0.21153846153846154,1.1677320138676048,0.8135073212976063,0.2692416158657311,0.029637760702524697,0.089,0.756091095726287,0.752424446575685,0.7437499999999999,0.6280223743752797,0.6282269815204411,0.65625,187,149,0.756091095726287,0.6702935245800417,0.8895501053474217,1
g3ring,d036,6.0,eb1168,4.8,0.36,-,-,806,5.326302729528536,0.16099476439790578,1.2807055076180007,0.644390935550732,0.6758908412134285,0.052109181141439205,0.194,0.5222043933960908,0.5184647031063077,0.48124999999999996,0.42112504850203564,0.4242278701705694,0.39375,123,101,0.5222043933960908,0.462947157266038,0.5964944029773876,0
g3ring,e0482,5.5,eb0482,4.8,0.36,-,-,974,4.919917864476386,0.19662921348314602,0.6673959011705621,1.1247527744665755,0.6756690247365364,0.08624229979466119,0.026,0.7572614347067198,0.7587997167535542,0.7437499999999999,0.648381406686046,0.6451429311754935,0.65625,175,107,0.7572614347067198,0.6713310591371631,0.9183872615949661,0
g3ring,e154,5.5,eb154,4.8,0.36,-,-,885,4.140112994350282,0.20771144278606965,0.9855450226020214,0.9561768242692843,0.42692883378548496,0.09152542372881356,0.115,0.6995682243566737,0.6987517222458132,0.65625,0.5946545203123533,0.5977311526565161,0.5687499999999999,167,106,0.6995682243566737,0.6201845960608809,0.8422868559665062,1
g3ring,f725,7.25,eb1168,3.2,0.27,-,-,563,14.339253996447603,0.0,9.4528802094733,1.3977543143547422,1.7545094798096792,0.0,0.437,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
g4finals,f1,5.5,eb1168,4.8,0.365,-,-,1818,4.168866886688669,0.187807881773399,0.8208114245822699,0.9897630216584811,0.5226332841552175,0.10671067106710672,0.091,0.6942820821824659,0.6919381487535309,0.65625,0.5939279253584958,0.596730185414328,0.5687499999999999,305,282,0.6942820821824659,0.6154982998071507,0.8412576846437618,0
g4finals,f2,5.5,eb1168,5.2,0.34,-,-,1815,4.194490358126722,0.1875739644970414,0.9155124142102463,0.980267708692917,0.4382564502384099,0.06887052341597796,0.0925,0.7233049969926696,0.7219851650183141,0.7437499999999999,0.6114541876142977,0.6098132044126865,0.5687499999999999,317,298,0.7233049969926696,0.6412278342133596,0.8660824187171356,0
g4finals,f3,5.5,eb1168,4.4,0.395,-,-,1823,4.2046077893582,0.18665811417575368,0.7688588737277392,1.0234447645417875,0.6137879081765385,0.14481623697202414,0.0885,0.6675205949496996,0.666009494364444,0.65625,0.5796600812199124,0.577231670042431,0.5687499999999999,291,257,0.6675205949496996,0.5917735770830671,0.8210482736825956,0
g4finals,a037,5.5,eb1168,4.8,0.37,-,-,1818,4.024202420242024,0.19836272040302264,0.7918661321838067,0.9595019238212504,0.5256738365135258,0.1265126512651265,0.091,0.6773965858642053,0.6762269237565257,0.65625,0.5774898781842179,0.576605913838594,0.5687499999999999,315,281,0.6773965858642053,0.600528888177487,0.8179743317056911,1
