ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
floor1,6.5,3.8,0.27,6000,8,0.028,0.213
floor1,6.5,3.8,0.27,6000,9,0.0196,0.1731
floor1,6.5,3.8,0.27,6000,10,0.0233,0.1356
floor1,6.5,3.8,0.27,6000,11,0.0141,0.1051
floor1,6.5,3.8,0.27,6000,12,0.0143,0.0865
floor1,6.5,3.8,0.27,6000,13,0.0079,0.066
floor1,6.5,3.8,0.27,6000,14,0.0069,0.0621
floor1,6.5,3.8,0.27,6000,15,0.0042,0.0548
floor1,6.5,3.8,0.27,6000,16,0.0033,0.0372
floor1,6.5,3.8,0.27,6000,17,0.0022,0.0299
rq4graded,6.5,3.8,0.27,6000,0,0.304,1.358
rq4graded,6.5,3.8,0.27,6000,1,0.2101,1.0384
rq4graded,6.5,3.8,0.27,6000,2,0.1131,0.8209
rq4graded,6.5,3.8,0.27,6000,3,0.0824,0.6636
rq4graded,6.5,3.8,0.27,6000,4,0.0562,0.5394
rq4graded,6.5,3.8,0.27,6000,5,0.0452,0.4472
rq4graded,6.5,3.8,0.27,6000,6,0.0362,0.3372
rq4graded,6.5,3.8,0.27,6000,7,0.0313,0.2751
rq4graded,6.5,3.8,0.27,6000,8,0.0261,0.2137
rq4graded,6.5,3.8,0.27,6000,9,0.0203,0.1669
rq4graded,6.5,3.8,0.27,6000,10,0.0218,0.1362
rq4graded,6.5,3.8,0.27,6000,11,0.0143,0.1025
rq4graded,6.5,3.8,0.27,6000,12,0.0138,0.0877
rq4graded,6.5,3.8,0.27,6000,13,0.0076,0.0656
rq4graded,6.5,3.8,0.27,6000,14,0.0069,0.0615
rq4graded,6.5,3.8,0.27,6000,15,0.004,0.0565
rq4graded,6.5,3.8,0.27,6000,16,0.0032,0.0372
rq4graded,6.5,3.8,0.27,6000,17,0.0022,0.0299
floor1,6.75,3.2,0.23,6000,0,0.059,1.5325
floor1,6.75,3.2,0.23,6000,1,0.1639,1.3585
floor1,6.75,3.2,0.23,6000,2,0.1104,1.1869
floor1,6.75,3.2,0.23,6000,3,0.0986,1.0533
floor1,6.75,3.2,0.23,6000,4,0.0863,0.9241
floor1,6.75,3.2,0.23,6000,5,0.077,0.7985
floor1,6.75,3.2,0.23,6000,6,0.0672,0.6725
floor1,6.75,3.2,0.23,6000,7,0.0619,0.5383
floor1,6.75,3.2,0.23,6000,8,0.0511,0.4287
floor1,6.75,3.2,0.23,6000,9,0.0461,0.3314
floor1,6.75,3.2,0.23,6000,10,0.0347,0.2493
floor1,6.75,3.2,0.23,6000,11,0.0331,0.1979
floor1,6.75,3.2,0.23,6000,12,0.0311,0.1505
floor1,6.75,3.2,0.23,6000,13,0.023,0.1157
floor1,6.75,3.2,0.23,6000,14,0.0198,0.1105
floor1,6.75,3.2,0.23,6000,15,0.0145,0.0812
floor1,6.75,3.2,0.23,6000,16,0.009,0.0737
floor1,6.75,3.2,0.23,6000,17,0.0063,0.0586
floor1,6.75,3.2,0.23,6000,18,0.0045,0.0457
floor1,6.75,3.2,0.23,6000,19,0.002,0.0248
rq4graded,6.75,3.2,0.23,6000,1,0.167,1.4651
rq4graded,6.75,3.2,0.23,6000,2,0.1629,1.2299
rq4graded,6.75,3.2,0.23,6000,3,0.1202,1.04
rq4graded,6.75,3.2,0.23,6000,4,0.0826,0.8923
rq4graded,6.75,3.2,0.23,6000,5,0.0733,0.7727
rq4graded,6.75,3.2,0.23,6000,6,0.0643,0.6547
rq4graded,6.75,3.2,0.23,6000,7,0.0594,0.5263
rq4graded,6.75,3.2,0.23,6000,8,0.049,0.4246
rq4graded,6.75,3.2,0.23,6000,9,0.0455,0.3282
rq4graded,6.75,3.2,0.23,6000,10,0.0345,0.2445
rq4graded,6.75,3.2,0.23,6000,11,0.0322,0.1962
rq4graded,6.75,3.2,0.23,6000,12,0.0303,0.1497
rq4graded,6.75,3.2,0.23,6000,13,0.0226,0.1173
rq4graded,6.75,3.2,0.23,6000,14,0.0195,0.1104
rq4graded,6.75,3.2,0.23,6000,15,0.0147,0.0802
rq4graded,6.75,3.2,0.23,6000,16,0.0086,0.0751
rq4graded,6.75,3.2,0.23,6000,17,0.0063,0.0586
rq4graded,6.75,3.2,0.23,6000,18,0.0045,0.0457
rq4graded,6.75,3.2,0.23,6000,19,0.002,0.0248
floor1,6.75,3.2,0.25,6000,0,0.2017,1.3911
floor1,6.75,3.2,0.25,6000,1,0.1511,1.1553
floor1,6.75,3.2,0.25,6000,2,0.0942,1.0002
floor1,6.75,3.2,0.25,6000,3,0.0805,0.8794
floor1,6.75,3.2,0.25,6000,4,0.071,0.7678
floor1,6.75,3.2,0.25,6000,5,0.0632,0.6523
floor1,6.75,3.2,0.25,6000,6,0.0578,0.5263
floor1,6.75,3.2,0.25,6000,7,0.049,0.4226
floor1,6.75,3.2,0.25,6000,8,0.0424,0.3424
floor1,6.75,3.2,0.25,6000,9,0.0343,0.2525
floor1,6.75,3.2,0.25,6000,10,0.0317,0.2125
floor1,6.75,3.2,0.25,6000,11,0.03,0.1621
floor1,6.75,3.2,0.25,6000,12,0.0234,0.1244
floor1,6.75,3.2,0.25,6000,13,0.0223,0.1077
floor1,6.75,3.2,0.25,6000,14,0.0153,0.0941
floor1,6.75,3.2,0.25,6000,15,0.0131,0.074
floor1,6.75,3.2,0.25,6000,16,0.0074,0.0633
floor1,6.75,3.2,0.25,6000,17,0.0056,0.0538
floor1,6.75,3.2,0.25,6000,18,0.0038,0.0406
floor1,6.75,3.2,0.25,6000,19,0.0017,0.0229
rq4graded,6.75,3.2,0.25,6000,0,0.075,1.5141
rq4graded,6.75,3.2,0.25,6000,1,0.2309,1.2828
rq4graded,6.75,3.2,0.25,6000,2,0.1349,1.0388
rq4graded,6.75,3.2,0.25,6000,3,0.1011,0.8723
rq4graded,6.75,3.2,0.25,6000,4,0.0666,0.7425
rq4graded,6.75,3.2,0.25,6000,5,0.0612,0.6349
rq4graded,6.75,3.2,0.25,6000,6,0.056,0.5108
