leg,config,n,weight,mean_KE_eV
s2,s2c1v85t44e27,19,0.0009,0.0215
s2,s2c1v85t50e21,1,0.1373,1.1348
s2,s2c1v85t50e21,2,0.1801,0.7062
s2,s2c1v85t50e21,3,0.1198,0.4189
s2,s2c1v85t50e21,4,0.0774,0.309
s2,s2c1v85t50e21,5,0.0689,0.2577
s2,s2c1v85t50e21,6,0.0632,0.2148
s2,s2c1v85t50e21,7,0.0589,0.1814
s2,s2c1v85t50e21,8,0.0534,0.1515
s2,s2c1v85t50e21,9,0.0498,0.1283
s2,s2c1v85t50e21,10,0.0445,0.1073
s2,s2c1v85t50e21,11,0.0397,0.0915
s2,s2c1v85t50e21,12,0.0315,0.0826
s2,s2c1v85t50e21,13,0.026,0.0728
s2,s2c1v85t50e21,14,0.0186,0.0658
s2,s2c1v85t50e21,15,0.0126,0.0567
s2,s2c1v85t50e21,16,0.0092,0.0461
s2,s2c1v85t50e21,17,0.0056,0.0377
s2,s2c1v85t50e21,18,0.0028,0.0309
s2,s2c1v85t50e21,19,0.0008,0.0204
s2,s2c1v85t50e23,0,0.0303,1.307
s2,s2c1v85t50e23,1,0.2733,0.8517
s2,s2c1v85t50e23,2,0.1331,0.4152
s2,s2c1v85t50e23,3,0.0933,0.294
s2,s2c1v85t50e23,4,0.0617,0.2378
s2,s2c1v85t50e23,5,0.0578,0.2054
s2,s2c1v85t50e23,6,0.0556,0.1727
s2,s2c1v85t50e23,7,0.0476,0.149
s2,s2c1v85t50e23,8,0.0472,0.1272
s2,s2c1v85t50e23,9,0.0416,0.1066
s2,s2c1v85t50e23,10,0.0377,0.0914
s2,s2c1v85t50e23,11,0.0339,0.0801
s2,s2c1v85t50e23,12,0.0259,0.0723
s2,s2c1v85t50e23,13,0.022,0.064
s2,s2c1v85t50e23,14,0.0139,0.0605
s2,s2c1v85t50e23,15,0.0105,0.0505
s2,s2c1v85t50e23,16,0.0076,0.0415
s2,s2c1v85t50e23,17,0.0043,0.0335
s2,s2c1v85t50e23,18,0.0022,0.028
s2,s2c1v85t50e25,0,0.2135,0.9966
s2,s2c1v85t50e25,1,0.2074,0.498
s2,s2c1v85t50e25,2,0.1026,0.2947
s2,s2c1v85t50e25,3,0.077,0.2306
s2,s2c1v85t50e25,4,0.0522,0.1943
s2,s2c1v85t50e25,5,0.052,0.1651
s2,s2c1v85t50e25,6,0.0436,0.1452
s2,s2c1v85t50e25,7,0.0437,0.1271
s2,s2c1v85t50e25,8,0.0398,0.1074
s2,s2c1v85t50e25,9,0.0356,0.0909
s2,s2c1v85t50e25,10,0.0345,0.0789
s2,s2c1v85t50e25,11,0.027,0.0708
s2,s2c1v85t50e25,12,0.0223,0.0657
s2,s2c1v85t50e25,13,0.0172,0.0579
s2,s2c1v85t50e25,14,0.0113,0.0538
s2,s2c1v85t50e25,15,0.0087,0.0428
s2,s2c1v85t50e25,16,0.0063,0.0383
s2,s2c1v85t50e25,17,0.0035,0.0317
s2,s2c1v85t50e25,18,0.0015,0.0245
s2,s2c1v85t50e27,0,0.3518,0.819
s2,s2c1v85t50e27,1,0.1534,0.332
s2,s2c1v85t50e27,2,0.0862,0.2316
s2,s2c1v85t50e27,3,0.0632,0.1913
s2,s2c1v85t50e27,4,0.0488,0.1586
s2,s2c1v85t50e27,5,0.0412,0.1414
s2,s2c1v85t50e27,6,0.0412,0.1256
s2,s2c1v85t50e27,7,0.037,0.1081
s2,s2c1v85t50e27,8,0.0343,0.0912
s2,s2c1v85t50e27,9,0.0327,0.08
s2,s2c1v85t50e27,10,0.0288,0.0703
s2,s2c1v85t50e27,11,0.023,0.0637
s2,s2c1v85t50e27,12,0.0189,0.0589
s2,s2c1v85t50e27,13,0.0135,0.0527
s2,s2c1v85t50e27,14,0.0095,0.0491
s2,s2c1v85t50e27,15,0.0077,0.039
s2,s2c1v85t50e27,16,0.0046,0.034
s2,s2c1v85t50e27,17,0.003,0.0297
s2,s2c1v85t50e27,18,0.0011,0.0224
s2,s2c4v65t32e21,1,0.0772,1.5915
s2,s2c4v65t32e21,2,0.1181,1.4542
s2,s2c4v65t32e21,3,0.1164,1.3197
s2,s2c4v65t32e21,4,0.1057,1.189
s2,s2c4v65t32e21,5,0.0971,1.0586
s2,s2c4v65t32e21,6,0.0887,0.9224
s2,s2c4v65t32e21,7,0.0787,0.7936
s2,s2c4v65t32e21,8,0.0683,0.6525
s2,s2c4v65t32e21,9,0.0571,0.5232
s2,s2c4v65t32e21,10,0.0485,0.4055
s2,s2c4v65t32e21,11,0.0383,0.3033
s2,s2c4v65t32e21,12,0.0315,0.2201
s2,s2c4v65t32e21,13,0.0229,0.169
s2,s2c4v65t32e21,14,0.017,0.1329
s2,s2c4v65t32e21,15,0.0129,0.1045
s2,s2c4v65t32e21,16,0.0097,0.0815
s2,s2c4v65t32e21,17,0.0064,0.0639
s2,s2c4v65t32e21,18,0.0036,0.0482
s2,s2c4v65t32e21,19,0.0015,0.0303
s2,s2c4v65t32e21,20,0.0005,0.0257
s2,s2c4v65t32e23,0,0.0591,1.5622
s2,s2c4v65t32e23,1,0.1667,1.405
s2,s2c4v65t32e23,2,0.1085,1.247
s2,s2c4v65t32e23,3,0.1005,1.1304
s2,s2c4v65t32e23,4,0.0908,1.0114
s2,s2c4v65t32e23,5,0.0817,0.8883
s2,s2c4v65t32e23,6,0.0732,0.7722
s2,s2c4v65t32e23,7,0.0635,0.6417
s2,s2c4v65t32e23,8,0.0542,0.5244
s2,s2c4v65t32e23,9,0.0464,0.4081
s2,s2c4v65t32e23,10,0.0373,0.3142
s2,s2c4v65t32e23,11,0.0314,0.2335
s2,s2c4v65t32e23,12,0.0245,0.1773
s2,s2c4v65t32e23,13,0.0185,0.1397
s2,s2c4v65t32e23,14,0.0144,0.1138
s2,s2c4v65t32e23,15,0.0114,0.0923
s2,s2c4v65t32e23,16,0.0076,0.071
s2,s2c4v65t32e23,17,0.0055,0.0562
s2,s2c4v65t32e23,18,0.0033,0.0435
s2,s2c4v65t32e23,19,0.0011,0.0278
s2,s2c4v65t32e25,0,0.2052,1.4296
s2,s2c4v65t32e25,1,0.1518,1.2112
s2,s2c4v65t32e25,2,0.0927,1.0736
s2,s2c4v65t32e25,3,0.085,0.9677
s2,s2c4v65t32e25,4,0.0762,0.8575
s2,s2c4v65t32e25,5,0.0681,0.7512
s2,s2c4v65t32e25,6,0.0603,0.6321
s2,s2c4v65t32e25,7,0.0507,0.5237
s2,s2c4v65t32e25,8,0.0445,0.411
s2,s2c4v65t32e25,9,0.037,0.3211
s2,s2c4v65t32e25,10,0.0292,0.2513
s2,s2c4v65t32e25,11,0.026,0.1893
s2,s2c4v65t32e25,12,0.0197,0.1476
s2,s2c4v65t32e25,13,0.0159,0.1209
s2,s2c4v65t32e25,14,0.0127,0.0969
s2,s2c4v65t32e25,15,0.0093,0.0807
s2,s2c4v65t32e25,16,0.007,0.0653
s2,s2c4v65t32e25,17,0.0047,0.0501
s2,s2c4v65t32e25,18,0.0024,0.0363
s2,s2c4v65t32e25,19,0.0011,0.026
s2,s2c4v65t32e27,0,0.3364,1.3351
s2,s2c4v65t32e27,1,0.1268,1.0496
s2,s2c4v65t32e27,2,0.0793,0.9268
s2,s2c4v65t32e27,3,0.0707,0.8294
s2,s2c4v65t32e27,4,0.0651,0.7301
s2,s2c4v65t32e27,5,0.0566,0.6233
s2,s2c4v65t32e27,6,0.0485,0.5206
s2,s2c4v65t32e27,7,0.0412,0.4191
s2,s2c4v65t32e27,8,0.037,0.3312
s2,s2c4v65t32e27,9,0.0292,0.2573
s2,s2c4v65t32e27,10,0.0262,0.2029
s2,s2c4v65t32e27,11,0.0203,0.1601
s2,s2c4v65t32e27,12,0.0168,0.1244
s2,s2c4v65t32e27,13,0.0132,0.1056
s2,s2c4v65t32e27,14,0.0114,0.0884
s2,s2c4v65t32e27,15,0.0081,0.0713
s2,s2c4v65t32e27,16,0.006,0.0573
s2,s2c4v65t32e27,17,0.0041,0.0454
s2,s2c4v65t32e27,18,0.0021,0.0344
s2,s2c4v65t32e27,19,0.001,0.025
s2,s2c4v65t38e21,1,0.1326,1.5361
s2,s2c4v65t38e21,2,0.1363,1.358
s2,s2c4v65t38e21,3,0.1255,1.206
s2,s2c4v65t38e21,4,0.1108,1.0573
s2,s2c4v65t38e21,5,0.098,0.9092
s2,s2c4v65t38e21,6,0.085,0.7691
s2,s2c4v65t38e21,7,0.0708,0.6205
s2,s2c4v65t38e21,8,0.059,0.486
s2,s2c4v65t38e21,9,0.0478,0.3685
s2,s2c4v65t38e21,10,0.0359,0.2659
s2,s2c4v65t38e21,11,0.0289,0.1983
s2,s2c4v65t38e21,12,0.021,0.1474
s2,s2c4v65t38e21,13,0.0158,0.1156
s2,s2c4v65t38e21,14,0.0125,0.0944
s2,s2c4v65t38e21,15,0.0083,0.0721
s2,s2c4v65t38e21,16,0.006,0.0563
s2,s2c4v65t38e21,17,0.0037,0.0422
s2,s2c4v65t38e21,18,0.0012,0.0271
s2,s2c4v65t38e21,19,0.0009,0.0235
s2,s2c4v65t38e23,0,0.1151,1.5043
s2,s2c4v65t38e23,1,0.193,1.306
s2,s2c4v65t38e23,2,0.1157,1.1267
s2,s2c4v65t38e23,3,0.1022,0.9929
s2,s2c4v65t38e23,4,0.0903,0.8594
s2,s2c4v65t38e23,5,0.0779,0.7309
s2,s2c4v65t38e23,6,0.0658,0.5942
s2,s2c4v65t38e23,7,0.0533,0.4723
s2,s2c4v65t38e23,8,0.0457,0.3575
s2,s2c4v65t38e23,9,0.0339,0.2705
s2,s2c4v65t38e23,10,0.0294,0.2021
s2,s2c4v65t38e23,11,0.0209,0.1544
s2,s2c4v65t38e23,12,0.0173,0.1183
s2,s2c4v65t38e23,13,0.0132,0.0961
s2,s2c4v65t38e23,14,0.0098,0.0798
s2,s2c4v65t38e23,15,0.007,0.0643
s2,s2c4v65t38e23,16,0.0049,0.048
s2,s2c4v65t38e23,17,0.0029,0.0351
s2,s2c4v65t38e23,18,0.0012,0.0253
s2,s2c4v65t38e23,19,0.0006,0.0209
s2,s2c4v65t38e25,0,0.2915,1.3666
s2,s2c4v65t38e25,1,0.1579,1.0896
s2,s2c4v65t38e25,2,0.0943,0.9349
s2,s2c4v65t38e25,3,0.0836,0.815
s2,s2c4v65t38e25,4,0.071,0.6974
s2,s2c4v65t38e25,5,0.0611,0.5755
s2,s2c4v65t38e25,6,0.05,0.4613
s2,s2c4v65t38e25,7,0.0431,0.3517
s2,s2c4v65t38e25,8,0.0335,0.2692
s2,s2c4v65t38e25,9,0.0276,0.2101
s2,s2c4v65t38e25,10,0.0221,0.1595
s2,s2c4v65t38e25,11,0.0172,0.1244
s2,s2c4v65t38e25,12,0.014,0.1
s2,s2c4v65t38e25,13,0.0117,0.0843
s2,s2c4v65t38e25,14,0.0078,0.0676
s2,s2c4v65t38e25,15,0.0058,0.055
s2,s2c4v65t38e25,16,0.0041,0.0432
s2,s2c4v65t38e25,17,0.0022,0.0331
s2,s2c4v65t38e25,18,0.0012,0.0221
s2,s2c4v65t38e27,0,0.4312,1.2701
s2,s2c4v65t38e27,1,0.1285,0.9125
s2,s2c4v65t38e27,2,0.0766,0.7734
s2,s2c4v65t38e27,3,0.065,0.6674
s2,s2c4v65t38e27,4,0.0581,0.5581
s2,s2c4v65t38e27,5,0.0464,0.45
s2,s2c4v65t38e27,6,0.0405,0.3495
s2,s2c4v65t38e27,7,0.0326,0.2714
s2,s2c4v65t38e27,8,0.0265,0.2142
s2,s2c4v65t38e27,9,0.0229,0.1674
s2,s2c4v65t38e27,10,0.017,0.1335
s2,s2c4v65t38e27,11,0.0148,0.104
s2,s2c4v65t38e27,12,0.0122,0.0891
s2,s2c4v65t38e27,13,0.0096,0.0714
s2,s2c4v65t38e27,14,0.0068,0.0609
s2,s2c4v65t38e27,15,0.0051,0.0467
s2,s2c4v65t38e27,16,0.0034,0.0374
s2,s2c4v65t38e27,17,0.0016,0.0283
s2,s2c4v65t38e27,18,0.0009,0.0221
s2,s2c4v65t44e21,1,0.191,1.4862
s2,s2c4v65t44e21,2,0.147,1.2673
s2,s2c4v65t44e21,3,0.1315,1.0992
s2,s2c4v65t44e21,4,0.111,0.9354
s2,s2c4v65t44e21,5,0.0955,0.7813
s2,s2c4v65t44e21,6,0.079,0.6212
s2,s2c4v65t44e21,7,0.0618,0.4801
s2,s2c4v65t44e21,8,0.0496,0.3547
s2,s2c4v65t44e21,9,0.0359,0.2557
s2,s2c4v65t44e21,10,0.0291,0.1856
s2,s2c4v65t44e21,11,0.0206,0.138
s2,s2c4v65t44e21,12,0.0156,0.1082
s2,s2c4v65t44e21,13,0.0122,0.0867
s2,s2c4v65t44e21,14,0.0079,0.0664
s2,s2c4v65t44e21,15,0.0058,0.053
s2,s2c4v65t44e21,16,0.0036,0.0396
s2,s2c4v65t44e21,17,0.0016,0.025
s2,s2c4v65t44e21,18,0.0009,0.0236
s2,s2c4v65t44e23,0,0.1779,1.4509
s2,s2c4v65t44e23,1,0.2067,1.2105
s2,s2c4v65t44e23,2,0.1188,1.013
s2,s2c4v65t44e23,3,0.0999,0.8673
s2,s2c4v65t44e23,4,0.0871,0.728
s2,s2c4v65t44e23,5,0.0706,0.583
s2,s2c4v65t44e23,6,0.056,0.4523
s2,s2c4v65t44e23,7,0.0465,0.3349
s2,s2c4v65t44e23,8,0.0337,0.2489
s2,s2c4v65t44e23,9,0.0287,0.1837
s2,s2c4v65t44e23,10,0.02,0.1437
s2,s2c4v65t44e23,11,0.0162,0.1067
s2,s2c4v65t44e23,12,0.0131,0.0881
s2,s2c4v65t44e23,13,0.009,0.0715
s2,s2c4v65t44e23,14,0.0066,0.0574
s2,s2c4v65t44e23,15,0.0046,0.0438
s2,s2c4v65t44e23,16,0.0028,0.0322
s2,s2c4v65t44e23,17,0.0011,0.0234
s2,s2c4v65t44e23,18,0.0007,0.0194
s2,s2c4v65t44e25,0,0.3703,1.3117
s2,s2c4v65t44e25,1,0.1609,0.9765
s2,s2c4v65t44e25,2,0.0921,0.8078
s2,s2c4v65t44e25,3,0.0774,0.6801
s2,s2c4v65t44e25,4,0.0654,0.5502
s2,s2c4v65t44e25,5,0.0508,0.4295
s2,s2c4v65t44e25,6,0.0431,0.3204
s2,s2c4v65t44e25,7,0.0329,0.242
s2,s2c4v65t44e25,8,0.0267,0.1883
s2,s2c4v65t44e25,9,0.0201,0.1443
s2,s2c4v65t44e25,10,0.0168,0.1124
s2,s2c4v65t44e25,11,0.0129,0.0887
s2,s2c4v65t44e25,12,0.0106,0.074
s2,s2c4v65t44e25,13,0.0072,0.0614
s2,s2c4v65t44e25,14,0.0056,0.0488
s2,s2c4v65t44e25,15,0.0036,0.037
s2,s2c4v65t44e25,16,0.002,0.0276
s2,s2c4v65t44e25,17,0.0011,0.0221
s2,s2c4v65t44e27,0,0.5136,1.2136
s2,s2c4v65t44e27,1,0.126,0.7883
s2,s2c4v65t44e27,2,0.0703,0.6383
s2,s2c4v65t44e27,3,0.0603,0.5233
s2,s2c4v65t44e27,4,0.0465,0.4086
s2,s2c4v65t44e27,5,0.0402,0.3126
s2,s2c4v65t44e27,6,0.0312,0.2385
s2,s2c4v65t44e27,7,0.0261,0.1884
s2,s2c4v65t44e27,8,0.02,0.1457
s2,s2c4v65t44e27,9,0.0157,0.1198
s2,s2c4v65t44e27,10,0.0137,0.094
s2,s2c4v65t44e27,11,0.0115,0.0776
s2,s2c4v65t44e27,12,0.0086,0.0623
s2,s2c4v65t44e27,13,0.006,0.0528
s2,s2c4v65t44e27,14,0.0047,0.0419
s2,s2c4v65t44e27,15,0.0029,0.0315
s2,s2c4v65t44e27,16,0.0014,0.023
s2,s2c4v65t44e27,17,0.001,0.0209
s2,s2c4v65t50e21,0,0.008,1.6467
s2,s2c4v65t50e21,1,0.2376,1.4351
s2,s2c4v65t50e21,2,0.1577,1.1831
s2,s2c4v65t50e21,3,0.1321,1.0
s2,s2c4v65t50e21,4,0.1114,0.8249
s2,s2c4v65t50e21,5,0.0894,0.6559
s2,s2c4v65t50e21,6,0.0695,0.5029
s2,s2c4v65t50e21,7,0.0549,0.3607
s2,s2c4v65t50e21,8,0.0385,0.2579
s2,s2c4v65t50e21,9,0.0307,0.1853
s2,s2c4v65t50e21,10,0.0207,0.1371
s2,s2c4v65t50e21,11,0.0164,0.1032
s2,s2c4v65t50e21,12,0.0125,0.0825
s2,s2c4v65t50e21,13,0.0082,0.0642
s2,s2c4v65t50e21,14,0.006,0.0512
s2,s2c4v65t50e21,15,0.0037,0.0374
s2,s2c4v65t50e21,16,0.0017,0.0266
s2,s2c4v65t50e21,17,0.001,0.0206
s2,s2c4v65t50e23,0,0.2386,1.4046
s2,s2c4v65t50e23,1,0.2133,1.1233
s2,s2c4v65t50e23,2,0.119,0.9111
s2,s2c4v65t50e23,3,0.0996,0.7537
s2,s2c4v65t50e23,4,0.0795,0.5996
s2,s2c4v65t50e23,5,0.061,0.46
s2,s2c4v65t50e23,6,0.0497,0.3327
s2,s2c4v65t50e23,7,0.0356,0.2418
s2,s2c4v65t50e23,8,0.0292,0.18
s2,s2c4v65t50e23,9,0.0202,0.137
s2,s2c4v65t50e23,10,0.0163,0.1028
s2,s2c4v65t50e23,11,0.013,0.084
s2,s2c4v65t50e23,12,0.0091,0.0661
s2,s2c4v65t50e23,13,0.0065,0.0528
s2,s2c4v65t50e23,14,0.0046,0.0411
s2,s2c4v65t50e23,15,0.0026,0.0309
s2,s2c4v65t50e23,16,0.0013,0.0212
s2,s2c4v65t50e23,17,0.0007,0.0197
s2,s2c4v65t50e25,0,0.4415,1.2631
s2,s2c4v65t50e25,1,0.1587,0.8738
s2,s2c4v65t50e25,2,0.089,0.6928
s2,s2c4v65t50e25,3,0.0714,0.5544
s2,s2c4v65t50e25,4,0.0552,0.4231
s2,s2c4v65t50e25,5,0.0452,0.3116
s2,s2c4v65t50e25,6,0.0344,0.23
s2,s2c4v65t50e25,7,0.0265,0.1773
s2,s2c4v65t50e25,8,0.0195,0.1351
s2,s2c4v65t50e25,9,0.0161,0.1051
s2,s2c4v65t50e25,10,0.013,0.0843
s2,s2c4v65t50e25,11,0.0103,0.0663
s2,s2c4v65t50e25,12,0.007,0.0584
s2,s2c4v65t50e25,13,0.0053,0.0447
s2,s2c4v65t50e25,14,0.0036,0.0325
s2,s2c4v65t50e25,15,0.0018,0.0249
s2,s2c4v65t50e25,16,0.0011,0.021
s2,s2c4v65t50e27,0,0.5862,1.1634
s2,s2c4v65t50e27,1,0.118,0.6736
s2,s2c4v65t50e27,2,0.0651,0.516
s2,s2c4v65t50e27,3,0.0497,0.3954
s2,s2c4v65t50e27,4,0.0409,0.2951
s2,s2c4v65t50e27,5,0.0324,0.2223
s2,s2c4v65t50e27,6,0.0255,0.1752
s2,s2c4v65t50e27,7,0.0197,0.1341
s2,s2c4v65t50e27,8,0.0153,0.1087
s2,s2c4v65t50e27,9,0.0133,0.0873
s2,s2c4v65t50e27,10,0.0105,0.0683
s2,s2c4v65t50e27,11,0.0081,0.0562
s2,s2c4v65t50e27,12,0.0058,0.0489
s2,s2c4v65t50e27,13,0.0042,0.0371
s2,s2c4v65t50e27,14,0.0028,0.029
s2,s2c4v65t50e27,15,0.0014,0.0202
s2,s2c4v65t50e27,16,0.001,0.0198
s2,s2c4v85t32e21,1,0.0609,1.2747
s2,s2c4v85t32e21,2,0.097,1.0266
s2,s2c4v85t32e21,3,0.0951,0.7805
s2,s2c4v85t32e21,4,0.0811,0.5789
s2,s2c4v85t32e21,5,0.0723,0.4464
s2,s2c4v85t32e21,6,0.0636,0.3695
s2,s2c4v85t32e21,7,0.0613,0.3081
s2,s2c4v85t32e21,8,0.0563,0.2678
s2,s2c4v85t32e21,9,0.0556,0.2257
s2,s2c4v85t32e21,10,0.0545,0.1977
s2,s2c4v85t32e21,11,0.0527,0.164
s2,s2c4v85t32e21,12,0.0504,0.1356
s2,s2c4v85t32e21,13,0.0465,0.1232
s2,s2c4v85t32e21,14,0.0403,0.1096
s2,s2c4v85t32e21,15,0.0343,0.0976
s2,s2c4v85t32e21,16,0.0282,0.0873
s2,s2c4v85t32e21,17,0.021,0.0798
s2,s2c4v85t32e21,18,0.0149,0.0679
s2,s2c4v85t32e21,19,0.0096,0.0512
s2,s2c4v85t32e21,20,0.004,0.0394
s2,s2c4v85t32e21,21,0.0006,0.019
s2,s2c4v85t32e23,0,0.0425,1.2771
s2,s2c4v85t32e23,1,0.1405,0.9948
s2,s2c4v85t32e23,2,0.0864,0.7072
s2,s2c4v85t32e23,3,0.0746,0.5315
s2,s2c4v85t32e23,4,0.0672,0.4236
s2,s2c4v85t32e23,5,0.0585,0.3557
s2,s2c4v85t32e23,6,0.0586,0.3007
s2,s2c4v85t32e23,7,0.0516,0.2623
s2,s2c4v85t32e23,8,0.0507,0.2304
s2,s2c4v85t32e23,9,0.0522,0.197
s2,s2c4v85t32e23,10,0.0469,0.1733
s2,s2c4v85t32e23,11,0.0472,0.1434
s2,s2c4v85t32e23,12,0.0461,0.1251
s2,s2c4v85t32e23,13,0.041,0.1099
s2,s2c4v85t32e23,14,0.0366,0.099
s2,s2c4v85t32e23,15,0.0308,0.0912
s2,s2c4v85t32e23,16,0.0252,0.0813
s2,s2c4v85t32e23,17,0.0185,0.0746
s2,s2c4v85t32e23,18,0.0126,0.0618
s2,s2c4v85t32e23,19,0.0083,0.0462
s2,s2c4v85t32e23,20,0.0035,0.0374
s2,s2c4v85t32e25,0,0.1631,1.0675
s2,s2c4v85t32e25,1,0.1214,0.6971
s2,s2c4v85t32e25,2,0.0691,0.4913
s2,s2c4v85t32e25,3,0.0624,0.4019
s2,s2c4v85t32e25,4,0.0549,0.3411
s2,s2c4v85t32e25,5,0.0546,0.2937
s2,s2c4v85t32e25,6,0.0482,0.2569
s2,s2c4v85t32e25,7,0.0472,0.2305
s2,s2c4v85t32e25,8,0.0482,0.1992
s2,s2c4v85t32e25,9,0.0438,0.177
s2,s2c4v85t32e25,10,0.0433,0.1523
s2,s2c4v85t32e25,11,0.0442,0.1315
s2,s2c4v85t32e25,12,0.041,0.1133
s2,s2c4v85t32e25,13,0.0378,0.099
s2,s2c4v85t32e25,14,0.0328,0.0927
s2,s2c4v85t32e25,15,0.0269,0.0833
s2,s2c4v85t32e25,16,0.0229,0.0772
s2,s2c4v85t32e25,17,0.016,0.0681
s2,s2c4v85t32e25,18,0.0115,0.0577
s2,s2c4v85t32e25,19,0.0073,0.0442
s2,s2c4v85t32e25,20,0.003,0.0353
s2,s2c4v85t32e27,0,0.2666,0.9253
s2,s2c4v85t32e27,1,0.0955,0.4891
s2,s2c4v85t32e27,2,0.0579,0.382
s2,s2c4v85t32e27,3,0.0518,0.3276
s2,s2c4v85t32e27,4,0.0502,0.2866
s2,s2c4v85t32e27,5,0.0465,0.2533
s2,s2c4v85t32e27,6,0.0444,0.228
s2,s2c4v85t32e27,7,0.0428,0.2046
s2,s2c4v85t32e27,8,0.044,0.1764
s2,s2c4v85t32e27,9,0.0397,0.1599
s2,s2c4v85t32e27,10,0.0409,0.1373
s2,s2c4v85t32e27,11,0.04,0.119
s2,s2c4v85t32e27,12,0.037,0.1029
s2,s2c4v85t32e27,13,0.0345,0.0918
s2,s2c4v85t32e27,14,0.0297,0.0861
s2,s2c4v85t32e27,15,0.0244,0.0786
s2,s2c4v85t32e27,16,0.0202,0.0717
s2,s2c4v85t32e27,17,0.0144,0.0645
s2,s2c4v85t32e27,18,0.0104,0.0537
s2,s2c4v85t32e27,19,0.0065,0.0419
s2,s2c4v85t32e27,20,0.0026,0.034
s2,s2c4v85t38e21,1,0.1069,1.1884
s2,s2c4v85t38e21,2,0.1137,0.8721
s2,s2c4v85t38e21,3,0.0961,0.6189
s2,s2c4v85t38e21,4,0.0807,0.4562
s2,s2c4v85t38e21,5,0.0713,0.3654
s2,s2c4v85t38e21,6,0.0672,0.3002
s2,s2c4v85t38e21,7,0.0588,0.2553
s2,s2c4v85t38e21,8,0.0582,0.2163
s2,s2c4v85t38e21,9,0.0544,0.1877
s2,s2c4v85t38e21,10,0.0514,0.1563
s2,s2c4v85t38e21,11,0.0502,0.1311
s2,s2c4v85t38e21,12,0.0441,0.1138
s2,s2c4v85t38e21,13,0.0391,0.0999
s2,s2c4v85t38e21,14,0.0326,0.0902
s2,s2c4v85t38e21,15,0.0267,0.0814
s2,s2c4v85t38e21,16,0.0191,0.0742
s2,s2c4v85t38e21,17,0.0136,0.0611
s2,s2c4v85t38e21,18,0.0096,0.0485
s2,s2c4v85t38e21,19,0.0048,0.0375
s2,s2c4v85t38e21,20,0.0015,0.0268
s2,s2c4v85t38e23,0,0.0899,1.184
s2,s2c4v85t38e23,1,0.1589,0.8375
s2,s2c4v85t38e23,2,0.0865,0.5479
s2,s2c4v85t38e23,3,0.0753,0.4191
s2,s2c4v85t38e23,4,0.0647,0.3434
s2,s2c4v85t38e23,5,0.0621,0.2863
s2,s2c4v85t38e23,6,0.0547,0.247
s2,s2c4v85t38e23,7,0.0526,0.2162
s2,s2c4v85t38e23,8,0.0526,0.1839
s2,s2c4v85t38e23,9,0.0469,0.1603
s2,s2c4v85t38e23,10,0.0461,0.1361
s2,s2c4v85t38e23,11,0.0442,0.1151
s2,s2c4v85t38e23,12,0.0389,0.1001
s2,s2c4v85t38e23,13,0.0345,0.0908
s2,s2c4v85t38e23,14,0.0281,0.0814
s2,s2c4v85t38e23,15,0.0233,0.0739
s2,s2c4v85t38e23,16,0.0158,0.0681
s2,s2c4v85t38e23,17,0.0116,0.056
s2,s2c4v85t38e23,18,0.0079,0.044
s2,s2c4v85t38e23,19,0.0041,0.036
s2,s2c4v85t38e23,20,0.0011,0.0232
s2,s2c4v85t38e25,0,0.232,0.9716
s2,s2c4v85t38e25,1,0.1197,0.536
s2,s2c4v85t38e25,2,0.0698,0.3886
s2,s2c4v85t38e25,3,0.0603,0.3223
s2,s2c4v85t38e25,4,0.0569,0.2744
s2,s2c4v85t38e25,5,0.052,0.2412
s2,s2c4v85t38e25,6,0.0479,0.2122
s2,s2c4v85t38e25,7,0.0499,0.1826
s2,s2c4v85t38e25,8,0.0433,0.162
s2,s2c4v85t38e25,9,0.0435,0.1393
s2,s2c4v85t38e25,10,0.0415,0.1206
s2,s2c4v85t38e25,11,0.0382,0.1025
s2,s2c4v85t38e25,12,0.0361,0.0888
s2,s2c4v85t38e25,13,0.0297,0.0835
s2,s2c4v85t38e25,14,0.0245,0.0746
s2,s2c4v85t38e25,15,0.0197,0.068
s2,s2c4v85t38e25,16,0.0137,0.0631
s2,s2c4v85t38e25,17,0.01,0.0511
s2,s2c4v85t38e25,18,0.0069,0.0425
s2,s2c4v85t38e25,19,0.0035,0.0335
s2,s2c4v85t38e25,20,0.0009,0.0218
s2,s2c4v85t38e27,0,0.3355,0.8379
s2,s2c4v85t38e27,1,0.095,0.3825
s2,s2c4v85t38e27,2,0.0563,0.307
s2,s2c4v85t38e27,3,0.0528,0.2639
s2,s2c4v85t38e27,4,0.0499,0.2335
s2,s2c4v85t38e27,5,0.0446,0.2081
s2,s2c4v85t38e27,6,0.0455,0.1823
s2,s2c4v85t38e27,7,0.0418,0.1609
s2,s2c4v85t38e27,8,0.0394,0.1432
s2,s2c4v85t38e27,9,0.0396,0.1248
s2,s2c4v85t38e27,10,0.037,0.1066
s2,s2c4v85t38e27,11,0.0345,0.0919
s2,s2c4v85t38e27,12,0.0327,0.0827
s2,s2c4v85t38e27,13,0.0262,0.0758
s2,s2c4v85t38e27,14,0.0223,0.0691
s2,s2c4v85t38e27,15,0.0168,0.0644
s2,s2c4v85t38e27,16,0.0119,0.0569
s2,s2c4v85t38e27,17,0.0089,0.0469
s2,s2c4v85t38e27,18,0.0059,0.0391
