a,j0,w_j,P0_twin,P_strip0,P_surv1,P_surv2,twin_ratio,nbar_det,nbar_det_repsd,n1_solv,n1_solv_repsd,bin0,bin0_repsd,w1_solv,w1_solv_repsd,midHot,midHot_repsd,deepKE,deepKE_repsd,KE1_mean,KE1_mean_repsd,KE1_sd,KE1_sd_repsd,KE2_mean,KE2_mean_repsd,KE1_conv,KE1_conv_repsd,conv_n0_frac,conv_n0_frac_repsd
1.5,1.0,0.5,1.0,0.4312407691214906,0.49873755776193923,0.06875610054951087,0.8646647167633872,3.7274895034684192,0.01864484595222455,0.28777403143224173,0.007537228351772878,0.16957603139832056,0.0071005298280587435,0.5866100602129359,0.016655498318471375,0.9137613676778807,0.0058559439550406565,0.5245794909531424,0.015170181805467328,0.6641375850296672,0.004335075434040642,0.11048749362047648,0.003048899270902791,0.5480989780069087,0.007888080123318998,0.7734923311088221,0.0037309542951265056,0.4326971057884232,0.02991456154202674
1.5,1.0,1.0,1.0,0.2979864430906633,0.4714076115748238,0.2005646408261146,0.6321205593078669,3.8545545819642206,0.014593257973067724,0.27880664905545643,0.007867615353766287,0.11670545819642204,0.0062474249582428875,0.6216067920435707,0.011657207733854296,0.9357676255377632,0.004748088710460229,0.5239867322394577,0.018252376779666155,0.6664912105875852,0.0038422518593296084,0.10291274018565161,0.003094752246060923,0.5955066434637528,0.00803929264856005,0.7746209192172445,0.0038417547408126913,0.29871506986027946,0.025142719542457084
1.5,1.0,1.5,1.0,0.20027773329205628,0.4116001088184277,0.2869654787394849,0.4865832855753844,3.972960021905805,0.01439504993847974,0.2638677654539681,0.007754287349153594,0.07819916027747353,0.0046220816970164134,0.6950290911578932,0.014094816785854012,0.9611755857603136,0.006303393846219029,0.5270482284781043,0.016984151131333735,0.6651988789831011,0.0033716832944799824,0.09584051169339691,0.0031404115923366126,0.6169632765406216,0.007651670961681499,0.7732211844751259,0.003699015249431044,0.1967939121756487,0.020020141775824563
1.5,1.0,2.0,1.0,0.13368473066555683,0.33974959615686784,0.32598084070932193,0.39348017533428487,4.083162194231471,0.017406263660704867,0.2445862558940128,0.006057184379945321,0.0521631982475356,0.005330606756190021,0.7600349751316231,0.016926868007665765,0.9885403053724572,0.005641090061715407,0.5274892482484872,0.017587248367492744,0.6629019865161535,0.0034640028727343617,0.08889312828458523,0.0034243926282988145,0.6234637744074482,0.005505845041267258,0.7738766250182296,0.004681123994944233,0.13236027944111775,0.0181221895677734
1.5,1.5,0.5,1.0,0.18583794296842582,0.5842263407025495,0.21893479029450555,0.31809237280357844,3.9114526286966047,0.011459223154723468,0.30607357840084076,0.006606788559936299,0.072973713033954,0.005747637641444361,0.6798708158163173,0.019722681165757882,0.9353413977437399,0.004665519531249069,0.5262492956798169,0.01270592176305179,0.673858521655755,0.0031303946807142097,0.10023677130877535,0.002698219931583874,0.6008447420180079,0.005821738048700159,0.773862946429904,0.0030849263711075574,0.18575349301397207,0.01826893741350993
1.5,1.5,1.0,1.0,0.1693630429501379,0.44173923355401395,0.3098639079424187,0.3834004998549193,3.9799539065352314,0.015244639654327584,0.26970435674576515,0.00635344902493756,0.06827309236947791,0.0067218276486236276,0.7083737727462154,0.013266924977471723,0.956547701633936,0.004715691069353276,0.5247268763586689,0.014914897462492043,0.6670797632055043,0.0033615731236989756,0.09468920015146327,0.0025032320464388716,0.6212459133379934,0.006611970436070991,0.773060957499184,0.0037312129410383976,0.1743388223552894,0.02072693071398714
1.5,1.5,1.5,1.0,0.12326137425309613,0.35353681587600777,0.3439962021480432,0.3486521593166305,4.072939485213581,0.013105391858118404,0.25131076330717067,0.007083603956635785,0.04713170865279299,0.004394839884839148,0.7614697112395591,0.013935791730028839,0.980135854457043,0.005206863513690933,0.5265727059221205,0.014003418757673868,0.6636361775315343,0.003364788065414411,0.08853674027614024,0.0032461544514887537,0.6282114368523747,0.006181314982251754,0.7737318791881257,0.00503274882968506,0.12406437125748504,0.01531524877469493
1.5,1.5,2.0,1.0,0.08540360549480723,0.278693583581288,0.34334736339485034,0.3064426686734147,4.16201168309602,0.01393680136203069,0.23361834890998776,0.005464821420581689,0.03403386272362176,0.004273498263879329,0.7988688076488355,0.013907241368262296,1.0100794986756394,0.006652900200542591,0.5280260014641609,0.016291308940973005,0.6593010538950405,0.0037460974636471874,0.0835698796394716,0.0031758925182796736,0.6287469086998988,0.005386134207095533,0.7734521688056706,0.005671527539547865,0.08470558882235528,0.016305082840553202
1.5,2.0,0.5,1.0,0.05140515977434706,0.4392865835545413,0.4474825116468895,0.11701964434787855,4.076305220883533,0.01219681045901449,0.27034169064616353,0.005209492656287452,0.020125958378970427,0.0035500449154254447,0.808511146665697,0.014202636070899383,0.9615564171559331,0.0043980484183102145,0.5257314445586877,0.016861204810571327,0.668468648132233,0.003201108526506723,0.08915231469618505,0.002753293866935817,0.6444797409442553,0.005476724727800419,0.7734444259606583,0.0038121041277370334,0.05071107784431137,0.013466416592491514
1.5,2.0,1.0,1.0,0.08014089771897488,0.34462657918358447,0.3985667181647728,0.23254415811115772,4.1062431544359255,0.016161109399818047,0.2490632787993453,0.006831920838809935,0.03134127418765973,0.0036992289703393724,0.7893381161965745,0.0143887554292265,0.9811784741320526,0.0062950414708511275,0.5252800465657935,0.01642460689738946,0.6632028024222508,0.0030886203148256606,0.08644311935593237,0.002764436019836832,0.6365925683052188,0.004577374834653424,0.7734543522623519,0.004975586147672688,0.08171157684630738,0.012910397534907886
