leg,ladder,v_c,p_tail,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,trapped_frac,suppressed_frac,nbar_det,pred_md_nbar,n1_solv,w1_solv,midhot_geo,deepke,n1_ke_eV,S_measured,S_provisional,gate_n1,gate_nbar,gate,pareto
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,6.4,0,0.295,20000,0.9945,0.0055,0.0211,4.371,3.911,0.2012,0.756,1.5089,0.925,0.8936,20.2354,4.8254,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.39,20000,0.9732,0.0268,0.1602,4.33,3.88,0.2124,0.4871,1.5246,1.1895,0.7617,20.2465,5.1122,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,6.0,0,0.32,20000,0.8749,0.1251,0.0626,4.391,3.926,0.2125,0.6776,0.6596,0.4446,0.5708,20.3154,9.9631,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,5.2,0,0.38,20000,0.9818,0.0182,0.2178,4.975,4.371,0.2132,1.4717,0.6795,0.848,0.4972,20.3203,6.5213,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,6.4,0,0.305,20000,0.8749,0.1251,0.0357,4.411,3.941,0.2007,0.77,0.6599,0.4343,0.5982,20.4583,10.2904,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,5.6,0,0.315,20000,0.9732,0.0268,0.0328,4.479,3.993,0.191,0.7564,1.5187,0.8097,0.848,20.5327,5.8249,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.0,0,0.42,20000,0.9614,0.0386,0.1751,4.438,3.962,0.1999,0.6425,1.5257,1.2402,0.7356,20.5484,5.6881,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.6,0,0.325,20000,0.9945,0.0055,0.0748,4.325,3.876,0.2281,0.499,1.535,1.0955,0.8471,20.5811,4.5928,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.8,1,0.31,20000,0.9818,0.0182,0.0936,4.76,4.207,0.2408,0.3694,0.647,0.6453,0.5813,20.6742,6.8963,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.2,0,0.345,20000,0.9945,0.0055,0.1146,4.301,3.858,0.2316,0.3873,1.5455,1.2067,0.8218,20.7014,5.1377,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.4,0,0.38,20000,0.9614,0.0386,0.1175,4.507,4.015,0.2009,0.619,1.5329,1.0717,0.7684,20.7255,4.6357,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.4,0,0.405,20000,0.9945,0.0055,0.2248,4.177,3.763,0.2268,0.4999,1.5415,1.4556,0.7599,20.7775,6.6581,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,4.8,0,0.41,20000,0.9818,0.0182,0.2572,5.019,4.405,0.2015,1.8688,0.6816,0.9086,0.4715,20.8686,6.7022,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.8,0,0.37,20000,0.9945,0.0055,0.1621,4.274,3.837,0.229,0.3429,1.5546,1.3295,0.7949,20.896,5.7955,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.8,0,0.35,20000,0.9614,0.0386,0.0708,4.568,4.061,0.1947,0.6816,1.5367,0.9249,0.7989,20.946,4.8263,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.0,0,0.34,20000,0.9818,0.0182,0.1618,4.807,4.243,0.2322,0.8463,0.6546,0.7319,0.5324,20.959,6.7467,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.37,20000,0.9113,0.0887,0.1812,4.427,3.954,0.2199,0.6664,0.6495,0.5447,0.4972,21.0113,8.6023,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,5.6,0,0.34,20000,0.8749,0.1251,0.1061,4.308,3.863,0.2217,0.6159,0.6474,0.4663,0.5346,21.0691,9.6479,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,4.8,0,0.39,20000,0.8749,0.1251,0.1914,4.298,3.855,0.2133,0.7267,0.6494,0.5463,0.4785,21.1212,8.6874,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.4,0,0.325,20000,0.9818,0.0182,0.1338,4.739,4.191,0.2399,0.5846,0.6429,0.6841,0.5507,21.3408,6.9015,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,5.6,0,0.36,20000,0.9818,0.0182,0.1991,4.829,4.26,0.2257,1.1409,0.6563,0.7813,0.507,21.3497,6.7773,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.355,20000,0.9732,0.0268,0.0911,4.51,4.017,0.2056,0.5604,1.5593,1.0723,0.8042,21.4099,4.6596,1,1,1,0
